"S","I","R","date"
30873999.0, 1.0, 0.0, 2009-04-09
30477522.2668,169919.028514286,226558.704685713,2009-04-16
30078259.6988,171112.529142857,624627.772057142,2009-04-23
29232275.05,362564.849485714,1279160.10051429,2009-04-30
28545665.0766,294261.417171429,2034073.50622857,2009-05-07
28000254.2548,233747.495057143,2639998.25014286,2009-05-14
27406945.5094,254275.1766,3212779.314,2009-05-21
26832349.4954,246255.434571429,3795395.07002857,2009-05-28
26312360.3252,222852.501514286,4338787.17328572,2009-06-04
25775368.8432,230139.206571429,4868491.95022857,2009-06-11
25210371.5558,242141.6946,5421486.7496,2009-06-18
24722167.1686,209230.451657143,5942602.37974286,2009-06-25
24261613.5358,197380.128342857,6415006.33585714,2009-07-02
23832773.6758,183788.511428571,6857437.81277143,2009-07-09
23416894.721,178233.837771429,7278871.44122857,2009-07-16
23058583.4266,153561.983314286,7661854.59008571,2009-07-23
22685471.1366,159905.267142857,8028623.59625714,2009-07-30
22328740.591,152884.519542857,8392374.88945714,2009-08-06
21975177.7178,151526.945657143,8747295.33654286,2009-08-13
21522441.3818,194029.858285714,9157528.75991429,2009-08-20
20787587.696,314937.293914286,9771475.01008571,2009-08-27
