"","Day","S","I","R"
"1",1,99947.9640269437,50.7863575744942,1.24961548179115
"2",2,99951.7366407973,50.4671784626864,-2.20381926000173
"3",3,99956.3345704331,52.7733045337917,-9.10787496687727
"4",4,99952.767163411,52.9279069399504,-5.69507035099391
"5",5,99960.1614008222,52.5847715631437,-12.7461723853787
"6",6,99944.1242235098,52.7255752184843,3.15020127169788
"7",7,99945.4113737167,53.974638501777,0.613987781513095
"8",8,99922.363053127,53.8964536791534,23.7404931938676
"9",9,99925.9521142952,52.2455322079596,21.8023534968373
"10",10,99934.0984871872,50.7463034841528,15.15520932861
"11",11,99922.9941249715,50.8307798631047,26.175095165343
"12",12,99917.6791201782,51.4746967061612,30.8461831156262
"13",13,99914.357089584,52.9929499805442,32.6499604354394
"14",14,99917.0979249087,52.1843547743622,30.7177203169784
"15",15,99904.9734233166,49.2409990236304,45.7855776597834
"16",16,99913.8018347417,50.6825747120891,35.5155905462387
"17",17,99911.3721993119,50.3270651084549,38.3007355796512
"18",18,99925.0243262807,51.1180675963746,23.857606122885
"19",19,99917.1720419439,51.399117253031,31.4288408031161
"20",20,99929.8833214731,50.3350765408742,19.7816019860097
"21",21,99931.3766070023,50.831982599485,17.7914103982703
"22",22,99945.2206623697,52.1529461273395,2.62639150293256
"23",23,99944.7341604332,50.888434259575,4.37740530724296
"24",24,99950.3973146078,51.3734270241128,-1.77074163188059
"25",25,99938.4034148432,51.7101262493351,9.88645890751539
"26",26,99932.68039589,53.1594970128722,14.1601070971207
"27",27,99957.6791497866,52.8684973411459,-10.5476471277197
"28",28,99958.3473265165,51.8561439661544,-10.2034704826482
"29",29,99967.1809596406,53.9622017585306,-21.1431613990928
"30",30,99946.7809429474,54.4673373420985,-1.24828028945721
"31",31,99943.8699659045,53.7325534278912,2.39748066761884
"32",32,99950.1599765363,53.6467263369216,-3.80670287324565
"33",33,99949.1086752533,54.3566857693908,-3.46536102264619
"34",34,99927.9858390843,56.2475764367935,15.7665844789004
"35",35,99928.0379632529,55.5717399186908,16.3902968284654
"36",36,99924.0851195432,54.9268541387794,20.9880263180928
"37",37,99908.6426715003,55.4584967816618,35.8988317180714
"38",38,99920.8600594322,55.7878467756867,23.3520937921648
"39",39,99931.1687351292,56.4213791513785,12.4098857194715
"40",40,99924.0384452999,54.1918738968811,21.7696808032522
"41",41,99910.2935110296,56.1241854299639,33.5823035404586
"42",42,99911.1761553038,56.6239994897265,32.1998452065514
"43",43,99916.8743107793,56.1040249605604,27.021664260238
"44",44,99905.357992986,57.8113307708777,36.8306762431585
"45",45,99899.3564655688,57.230595788621,43.4129386426267
"46",46,99909.0512190351,55.9807869313732,34.9679940335792
"47",47,99915.8477652896,56.5538816272049,27.5983530832403
"48",48,99922.1178040992,57.5923597285677,20.289836172285
"49",49,99921.8429460211,56.8908257218122,21.2662282571519
"50",50,99915.8350006327,55.9828202839728,28.1821790833796
"51",51,99928.8267682822,57.471273170364,13.7019585474175
"52",52,99930.763335552,57.4674262127878,11.7692382352508
"53",53,99925.543657449,57.3413514187974,17.1149911322715
"54",54,99908.4127076327,57.4499445285678,34.1373478388157
"55",55,99923.5251472782,59.0942058123406,17.3806469094676
"56",56,99922.7131118664,58.183324294262,19.1035638393435
"57",57,99943.3883588099,57.9585124547917,-1.34687126466713
"58",58,99938.3881732595,58.001702772667,3.61012396789318
"59",59,99953.0558615771,58.5634578779029,-11.6193194549356
"60",60,99947.6845740255,59.3805980904491,-7.06517211592936
"61",61,99937.8800106281,60.69427705246,1.42571231946012
"62",62,99942.4696873809,61.8522058376298,-4.32189321845115
"63",63,99936.802779574,59.5014449466321,3.69577547937074
"64",64,99925.7554343014,61.6315922900854,12.6129734084936
"65",65,99913.2674441872,63.0028291139656,23.7297266988289
"66",66,99922.8536921775,62.654744103054,14.4915637195225
"67",67,99936.8877501373,62.9557630349083,0.156486827826388
"68",68,99946.774431199,61.220179842045,-7.99461104096459
"69",69,99963.5759845344,63.3901083548805,-26.9660928892043
"70",70,99952.0979608399,63.7038860772028,-15.8018469170816
"71",71,99933.3234434842,63.3950890706326,3.28146744515693
"72",72,99933.8404212657,63.8565707773875,2.30300795690644
"73",73,99934.4313761197,63.5269464257378,2.04167745462918
"74",74,99924.3947311381,63.2321952631753,12.3730735987214
"75",75,99945.9255743185,62.3317051519143,-8.25727947039882
"76",76,99938.4945209734,62.4799305921388,-0.97445156549937
"77",77,99943.9467347769,64.2369881783903,-8.18372295527278
"78",78,99958.0716432912,63.3421639785085,-21.4138072696693
"79",79,99947.0794092391,61.8354566960454,-8.9148659350813
"80",80,99956.7621169878,61.3572766529058,-18.1193936406278
"81",81,99967.5585118965,62.7278558698928,-30.2863677663573
"82",82,99937.4048188578,63.8786252488337,-1.28344410659207
"83",83,99935.6148225079,63.1670068257433,1.21817066641041
"84",84,99930.958304165,65.5734295441347,3.46826629084452
"85",85,99927.0897575565,63.7133192656554,9.19692317788883
"86",86,99908.7357276449,65.2384257889023,26.0258465662613
"87",87,99905.9646583175,65.352015375672,28.6833263068562
"88",88,99917.7676254605,65.8540760007967,16.3782985387503
"89",89,99926.688912715,64.6026879927308,8.70839929226993
"90",90,99930.7849429276,62.7056108022151,6.50944627019032
"91",91,99919.0907561381,65.2417488095783,15.6674950523308
"92",92,99931.1931884904,65.3668163484737,3.43999516114166
"93",93,99913.6550176725,66.1171144552211,20.2278678722723
"94",94,99916.8209270437,64.3949086403645,18.784164315976
"95",95,99939.6099273276,66.218079326396,-5.82800665399424
"96",96,99923.1874232261,68.3165743613369,8.49600241259662
"97",97,99934.1442796123,69.3257335772172,-3.47001318948037
"98",98,99924.2992399361,67.9272231356918,7.77353692822671
"99",99,99924.48389902,68.848301175018,6.66779980501147
"100",100,99919.7652323158,68.9409250585658,11.2938426256118
"101",101,99923.3559719477,68.7069484692828,7.93707958306577
"102",102,99919.0535577496,67.949775476727,12.9966667736636
"103",103,99932.328533002,68.8238253494839,-1.15235835152484
"104",104,99943.433723237,68.9132383554372,-12.3469615924414
"105",105,99929.7066304969,68.5375960758744,1.75577342726582
"106",106,99907.0720124777,66.8381108047358,26.089876717572
"107",107,99912.679644719,68.4045782186395,18.9157770623972
"108",108,99920.9617497257,67.2194426282456,11.8188076461187
"109",109,99914.8231790873,68.1173220010593,17.0594989116761
"110",110,99912.8262034448,69.1198648250268,18.0539317301959
"111",111,99906.489859354,68.3025764576126,25.2075641884399
"112",112,99908.2351558325,68.3009359041695,23.4639082633494
"113",113,99903.0211634942,68.9907330558669,27.9881034499489
"114",114,99901.5391312811,68.9232165825428,29.537652136374
"115",115,99910.0915238122,69.15962324077,20.7488529470165
"116",116,99897.2952066056,69.835629888535,32.8691635058456
"117",117,99888.8475666095,72.1311434058556,39.0212899846203
"118",118,99881.6355042737,71.6004937782616,46.7640019480506
"119",119,99891.8160091784,70.7374233890382,37.4465674325478
"120",120,99879.9986011251,70.737941842598,49.263457032342
"121",121,99905.1181266971,70.8852899412947,23.9965833615868
"122",122,99902.8929385815,72.5554346159722,24.5516268025752
"123",123,99897.2556200998,72.8066916782502,29.9376882219724
"124",124,99914.1701311888,72.797614857373,13.0322539538169
"125",125,99910.5546430696,73.3668655047518,16.0784914256704
"126",126,99893.2186457129,73.4691166702463,33.3122376168704
"127",127,99901.063009873,75.2857317551396,23.6512583718614
"128",128,99881.5854014932,73.4538122349865,44.9607862718759
"129",129,99898.7954046167,73.2826492002638,27.9219461830441
"130",130,99913.0253773747,73.2336528165421,13.740969808794
"131",131,99906.6642594122,74.6035175037682,18.7322230840894
"132",132,99906.7017360232,74.3174098577192,18.9808541191523
"133",133,99914.0526972419,75.2508022951232,10.69650046299
"134",134,99898.1448657349,75.8953583324328,25.9597759327247
"135",135,99895.5813418663,76.1934513302914,28.2252068034357
"136",136,99895.2998867639,75.5451785885149,29.15493464762
"137",137,99900.804558889,77.6494951384652,21.5459459725687
"138",138,99901.0222911596,75.6208798833687,23.3568289570742
"139",139,99903.724590508,74.8324856946771,21.4429237973151
"140",140,99883.1214044832,75.2308440792547,41.6477514375599
"141",141,99891.8636393056,76.0564344208012,32.0799262736202
"142",142,99880.2046358051,78.0774784653506,41.7178857295489
"143",143,99875.4741280158,78.0072644200888,46.5186075641542
"144",144,99875.6422369642,76.6252685370782,47.7324944987468
"145",145,99877.1750195988,76.6825424644711,46.1424379367563
"146",146,99874.8975056145,75.3763880040402,49.7261063815234
"147",147,99892.9158838172,75.7187103918203,31.3654057909871
"148",148,99886.2752537853,75.723362676355,38.0013835383254
"149",149,99875.4858519832,75.3358802663641,49.1782677504574
"150",150,99887.1801064724,76.7090828395987,36.1108106880438
"151",151,99881.9145235252,77.8333687466178,40.2521077282082
"152",152,99879.299756936,78.0050302945615,42.695212769482
"153",153,99890.7504018681,77.6611919058071,31.5884062261314
"154",154,99905.2369055336,77.4969928239505,17.2661016424746
"155",155,99892.799413255,76.8185301481871,30.3820565968281
"156",156,99899.653785907,76.4031105293427,23.9431035637097
"157",157,99889.9275637955,76.9370743220678,33.135361882471
"158",158,99861.0068401788,78.6691432213207,60.3240165998851
"159",159,99849.7788427668,79.1043939896195,71.1167632435748
"160",160,99854.992267118,78.486314175808,66.5214187062409
"161",161,99868.6566568877,79.5289914592196,51.8143516531299
"162",162,99871.3483203341,78.1055289000883,50.5461507657934
"163",163,99887.0275359525,79.4213562518347,33.5511077956806
"164",164,99894.3523263051,82.0836321875637,23.5640415073527
"165",165,99897.2103595204,83.2375509973021,19.5520894822694
"166",166,99896.8064015406,81.1026767054606,22.0909217539702
"167",167,99887.2509881764,81.7658745513555,30.9831372722659
"168",168,99879.0039678538,80.3103799092553,40.6856522369423
"169",169,99890.5195690459,78.3997862879224,31.0806446661862
"170",170,99877.4965440072,80.0523075787454,42.4511484140755
"171",171,99871.1222698524,81.6415102010423,47.2362199465543
"172",172,99868.8373508006,83.313471303413,47.8491778959794
"173",173,99858.9529416287,83.1347403448496,57.912318026404
"174",174,99876.3088704463,82.1723083616829,41.5188211920084
"175",175,99903.0022616894,82.4833032923648,14.5144350181907
"176",176,99890.4079467614,83.4389061786165,26.1531470599667
"177",177,99875.838211166,84.1777253879281,39.9840634460597
"178",178,99864.8132467613,83.4418780362517,51.7448752024643
"179",179,99870.1658594639,85.3474411823935,44.4866993537261
"180",180,99881.1239822766,86.8585880744531,32.017429648975
"181",181,99881.2413726977,86.7226823958889,32.0359449063911
"182",182,99892.9545391579,87.8547403923537,19.1907204497753
"183",183,99891.3291062544,88.3524936781286,20.3184000674687
"184",184,99883.6161996861,88.1188020412946,28.2649982725691
"185",185,99884.0527348682,87.3900371772418,28.557227954575
"186",186,99882.7135744249,86.5930223832602,30.6934031918364
"187",187,99891.2274966637,84.7581233428702,24.0143799933813
"188",188,99897.5739088349,87.5385364043256,14.8875547607542
"189",189,99882.4825193554,89.5524469778162,27.965033666784
"190",190,99891.8014866919,90.5069102241018,17.6916030839831
"191",191,99884.6159430288,92.11745738754,23.2665995836588
"192",192,99882.1964541838,89.8934903266332,27.910055489563
"193",193,99879.1944353507,87.6747099530855,33.1308546961805
"194",194,99883.823884019,89.0644533990884,27.1116625818805
"195",195,99874.2016486788,92.6160907722044,33.1822605489111
"196",196,99861.5174138384,92.63737151162,45.8452146499499
"197",197,99848.8596483603,92.2891301406104,58.851221499013
"198",198,99836.1478724353,91.4827922425751,72.3693353221247
"199",199,99846.3298623031,92.514223787345,61.1559139095272
"200",200,99857.1862388762,91.1241013882974,51.6896597354129
"201",201,99869.0514891838,89.8277148917784,41.1207959243389
"202",202,99868.9545241395,90.6927217631078,40.352754097307
"203",203,99896.3279426879,91.2426692557726,12.4293880562418
"204",204,99868.7922012801,91.7993108342003,39.4084878856905
"205",205,99872.8728685499,94.0556372069516,33.0714942431273
"206",206,99870.2735495187,94.429779991136,35.296670490141
"207",207,99871.4647880474,92.9668112293012,35.5684007232289
"208",208,99868.6239514002,93.1741117749169,38.2019368248032
"209",209,99855.9594957828,92.4718087365979,51.568695480558
"210",210,99858.4903491389,93.5571672050423,47.9524836560038
"211",211,99860.1316417441,93.5048213404536,46.3635369154513
"212",212,99844.5202569103,93.3060590666384,62.1736840230401
"213",213,99858.750618388,92.7026401833326,48.5467414285932
"214",214,99859.48513011,94.1430514553886,46.3718184346053
"215",215,99844.2810747265,96.158592798093,59.5603324753381
"216",216,99843.7817839839,98.5195701093442,57.6986459066724
"217",217,99858.6401082902,98.9150056622277,42.4448860474714
"218",218,99847.2837240369,98.1890200575894,54.5272559054935
"219",219,99851.7727669998,96.9538252395956,51.2734077605329
"220",220,99857.6538531985,95.9164338860725,46.4297129153623
"221",221,99867.9953762644,97.7562035761723,34.2484201593797
"222",222,99853.1702648234,97.7265666486729,49.1031685278348
"223",223,99861.3017882254,98.5549456603057,40.1432661142844
"224",224,99859.9293981005,99.4464747133902,40.6241271860759
"225",225,99863.8346705736,99.5963407549414,36.568988671383
"226",226,99858.1062957581,98.6366751738875,43.2570290679153
"227",227,99864.1227567019,99.5428842506687,36.3343590473673
"228",228,99857.2729231448,100.269863395849,42.4572134593179
"229",229,99846.7136322293,101.015331207054,52.2710365635803
"230",230,99854.3891129377,98.9630119312945,46.6478751309092
"231",231,99859.5175519251,99.6551567703398,40.8272913044491
"232",232,99856.1788279925,100.271977086315,43.5491949211389
"233",233,99858.7865202348,101.052032071235,40.1614476938723
"234",234,99841.7274295053,100.811048093042,57.4615224015681
"235",235,99852.7575164092,100.725193402149,46.5172901885401
"236",236,99861.1879978505,99.6157973156097,39.1962048338312
"237",237,99845.8169898463,100.66618703144,53.516823122214
"238",238,99844.6220493606,101.564156427118,53.8137942121697
"239",239,99848.231754951,103.148406261744,48.6198387871254
"240",240,99854.4223539147,103.985770659723,41.5918754254753
"241",241,99851.4188719646,102.941892263815,45.6392357714867
"242",242,99851.7925624914,104.090650816807,44.1167866916831
"243",243,99841.1620165687,103.846386067481,54.9915973636793
"244",244,99851.3833708964,104.64631477116,43.9703143323636
"245",245,99863.3561538097,104.714412334499,31.9294338556688
"246",246,99845.6632340081,103.028704962237,51.3080610295408
"247",247,99854.8786809114,104.048066532322,41.0732525562146
"248",248,99855.5350014412,103.50568256113,40.9593159976223
"249",249,99848.107362845,104.14981053821,47.7428266166833
"250",250,99854.2724065584,105.258358727241,40.4692347142471
"251",251,99845.6302498637,103.903907614916,50.4658425213009
"252",252,99837.3801268111,104.055980268888,58.5638929199392
"253",253,99836.6678759533,106.190926854251,57.1411971923282
"254",254,99829.7634262262,106.760627240491,63.4759465331892
"255",255,99828.251221081,110.160319713265,61.5884592055966
"256",256,99835.9532565355,109.612296498176,54.4344469661682
"257",257,99842.7045610622,109.083799890078,48.2116390476055
"258",258,99834.0880302389,108.666604907792,57.2453648531397
"259",259,99827.1106142801,108.673616817732,64.2157689020518
"260",260,99831.0645621304,108.660091411507,60.275346457996
"261",261,99806.8639179913,109.717532307912,83.418549700675
"262",262,99818.7096954039,109.383316741406,71.9069878545795
"263",263,99838.8132386998,109.62023627488,51.5665250252129
"264",264,99855.282292909,111.780954342256,32.9367527486313
"265",265,99842.6510767076,109.707971152559,47.6409521397172
"266",266,99835.9726547827,110.687900150061,53.3394450670941
"267",267,99827.0443300601,110.717029973345,62.2386399664493
"268",268,99830.1261931285,110.85279730549,59.0210095659393
"269",269,99826.7593938645,112.763003095649,60.4776030397235
"270",270,99801.8989908469,113.38901113637,84.711998016655
"271",271,99806.3510835228,114.771358374738,78.8775581023064
"272",272,99805.9229275625,114.777765023741,79.2993074136053
"273",273,99798.4098197348,114.510753285176,87.0794269799212
"274",274,99802.6464132483,113.926843503123,83.4267432484464
"275",275,99813.9120571815,114.35704619292,71.7308966254578
"276",276,99801.6968809302,114.160716692991,84.142402376705
"277",277,99782.2049372318,113.396138165043,104.398924603053
"278",278,99786.5677643898,112.181965656651,101.250269953452
"279",279,99785.7389662409,114.938192169629,99.3228415893135
"280",280,99808.4177184422,114.345179438778,77.2371021188927
"281",281,99816.7888242361,112.621308931256,70.5898668325112
"282",282,99810.3738964207,114.265152988762,75.3609505904589
"283",283,99801.3724127854,113.467436722744,85.1601504917436
"284",284,99819.2048629638,113.337099754656,67.4580372814218
"285",285,99804.7299237733,114.381455522361,80.8886207042033
"286",286,99822.5653866104,114.61584086625,62.8187725231861
"287",287,99811.23343833,115.583504747981,73.1830569219082
"288",288,99826.0701334009,116.478432429915,57.4514341690344
"289",289,99806.5235231879,116.287955796764,77.1885210152152
"290",290,99783.8668812624,115.831586583396,100.301532154118
"291",291,99795.4843862301,116.722980646966,87.7926331228416
"292",292,99789.1371804372,118.293384462869,92.5694350998227
"293",293,99782.9377119884,118.298142495626,98.7641455158557
"294",294,99798.7199178598,119.330045852726,81.9500362874013
"295",295,99790.7893843341,119.09164120921,90.1189744566171
"296",296,99786.8088188145,119.174664571309,94.0165166140516
"297",297,99800.5312056055,119.802361118144,79.6664332762291
"298",298,99797.2885827308,121.213297129223,81.4981201398868
"299",299,99821.2662486568,123.28094869655,55.4528026464863
"300",300,99817.131367546,122.608142417476,60.2604900363979
"301",301,99803.4095437395,122.146638487885,74.4438177724938
"302",302,99808.8184012788,121.020940928892,70.1606577922184
"303",303,99800.2096144799,120.996182977816,78.7942025421993
"304",304,99789.1536552125,120.613909137659,90.2324356496877
"305",305,99794.1726065664,121.624587585056,84.2028058484605
"306",306,99800.8103146624,121.528765105448,77.6609202320056
"307",307,99803.9568793038,122.26854516107,73.7745755350311
"308",308,99802.714664298,124.274909722286,73.0104259795685
"309",309,99800.6915451357,124.234582871358,75.0738719928504
"310",310,99770.6237347389,124.621109537002,104.75515572394
"311",311,99782.9603021578,124.894978034177,92.1447198079412
"312",312,99772.3352857305,124.873901796307,102.790812473083
"313",313,99769.9578849056,126.864092099485,103.178022994756
"314",314,99788.2429164126,126.243988212254,85.5130953750501
"315",315,99789.3471462234,127.289903011565,83.3629507649266
"316",316,99786.8332900568,128.861080521659,84.3056294214329
"317",317,99772.4172903593,128.475081008455,99.1076286321541
"318",318,99768.9261751945,127.464903163655,103.608921641748
"319",319,99773.1879080644,128.597927497092,98.2141644383492
"320",320,99780.5891973939,130.347949974767,89.0628526312678
"321",321,99783.3922970426,130.116142513509,86.4915604438128
"322",322,99794.9203025993,131.120193423585,73.959503977032
"323",323,99803.7157636797,131.289054810019,64.9951815102046
"324",324,99783.0094995905,129.004550998535,87.9859494109278
"325",325,99791.4614131231,128.380674756305,80.1579121204802
"326",326,99780.0450459591,129.103847023074,90.85110701774
"327",327,99780.5927723786,131.626413285046,87.7808143362191
"328",328,99764.4973698643,132.139966994827,103.362663140831
"329",329,99775.6475879533,135.006189179709,89.34622286695
"330",330,99772.7596628303,135.335128263154,91.9052089064675
"331",331,99771.8842216717,135.688710229641,92.4270680985259
"332",332,99785.088616851,136.927194772707,77.9841883761667
"333",333,99769.9677510226,138.180288358276,91.8519606190554
"334",334,99768.2144418482,137.172802119993,94.6127560317015
"335",335,99753.4923996737,138.518253108929,107.98934721727
"336",336,99757.7552924916,137.348273227613,104.896434280656
"337",337,99774.5193763679,136.89681704105,88.5838065909785
"338",338,99760.1103336734,136.971065191571,102.918601134923
