"","Day","S","I","R"
"1",1,99947.1900127665,50.0776708136521,2.7323164198221
"2",2,99948.8190757022,49.544218552632,1.63670574513074
"3",3,99953.3029940595,51.2679597682105,-4.57095382773963
"4",4,99941.9655501646,50.240706669467,7.79374316592258
"5",5,99946.5320508399,51.6711557264333,1.79679343367343
"6",6,99942.8562904657,50.729936981172,6.41377255312393
"7",7,99955.701435759,51.6386533073593,-7.34008906634624
"8",8,99937.2464737557,52.069980471277,10.6835457729828
"9",9,99946.9034044101,50.8192173465207,2.27737824334817
"10",10,99932.019607883,50.7343689854754,17.2460231314731
"11",11,99933.5219178416,51.1892116721921,15.2888704862223
"12",12,99944.369784745,52.5943857539996,3.03582950105008
"13",13,99939.8169171922,53.1433154126347,7.03976739514157
"14",14,99944.0599075775,52.3937698848471,3.54632253767707
"15",15,99931.7023794855,51.4334295498495,16.8641909646733
"16",16,99940.4422061782,52.9156022946982,6.64219152711911
"17",17,99962.7442754438,52.2591333642932,-15.0034088080396
"18",18,99935.4762407653,51.6091403439582,12.9146188907655
"19",19,99955.590067885,54.7617375976887,-10.3518054826558
"20",20,99948.2319174274,52.6172015422547,-0.84911896961077
"21",21,99934.4472348761,54.901485284317,10.6512798396199
"22",22,99925.9747595264,53.703786161484,20.3214543121312
"23",23,99954.5007979235,54.0051287869612,-8.50592671043568
"24",24,99941.7584313053,54.9233415871044,3.31822710757571
"25",25,99940.356818062,52.3723452445972,7.27083669339406
"26",26,99924.5654578185,53.4514658776208,21.9830763039173
"27",27,99931.6957156819,53.9804844839397,14.3237998341384
"28",28,99944.0915636784,54.9217107957091,0.986725525920387
"29",29,99938.648280163,55.211379038783,6.14034079820245
"30",30,99955.06958199,53.7294498193883,-8.79903180938159
"31",31,99945.8670732124,54.151395415471,-0.0184686278662083
"32",32,99939.0026428268,54.2968914041621,6.70046576903491
"33",33,99938.7587445548,55.2885129655716,5.95274247965194
"34",34,99949.2691055913,56.8251522574904,-6.09425784874169
"35",35,99945.5181278967,55.412436137202,-0.930564033902481
"36",36,99935.2808600372,56.1305786564553,8.58856130635786
"37",37,99944.0297644557,55.969774764241,0.000460780086891432
"38",38,99934.7791228117,55.5816721844985,9.63920500384882
"39",39,99955.9287168389,55.1311225388773,-11.0598393777455
"40",40,99936.9304036158,57.4003785654769,5.66921781872284
"41",41,99927.9761665281,55.7245242562445,16.2993092157252
"42",42,99940.5995995139,57.3473963323803,2.05300415374447
"43",43,99936.1625553544,56.1223291414265,7.71511550420628
"44",44,99926.3317787204,55.6878043007188,17.9804169789595
"45",45,99923.457802824,55.5372377419783,21.0049594341058
"46",46,99926.3430150818,58.5956084587682,15.061376459437
"47",47,99955.6539788474,59.1314044101939,-14.7853832575382
"48",48,99934.9950071263,59.1259378753734,5.87905499839273
"49",49,99944.6382658049,58.3573796353148,-2.99564544014135
"50",50,99936.7474995718,56.5168757700023,6.73562465821723
"51",51,99926.4429552749,58.4795247826573,15.0775199424409
"52",52,99919.9166860377,58.9776660748188,21.1056478875109
"53",53,99931.3933192518,58.8261515060877,9.78052924214072
"54",54,99922.0747974836,59.2922957712405,18.6329067451886
"55",55,99925.9286272073,59.7539892066639,14.317383586055
"56",56,99913.7813835411,57.8455226730428,28.3730937858604
"57",57,99927.2083161904,60.479789659799,12.3118941498363
"58",58,99929.3663375887,60.2895024259083,10.3441599854586
"59",59,99920.4375660651,58.83536280778,20.7270711271289
"60",60,99934.2046212408,58.6894450234176,7.10593373584442
"61",61,99936.9913342208,60.1329599520402,2.87570582717794
"62",62,99931.0439119361,59.9544694547739,9.00161860913724
"63",63,99924.8709375338,61.2587902015713,13.8702722646664
"64",64,99917.9207524951,59.3929010136092,22.6863464913523
"65",65,99905.8048495933,61.8768226438441,32.3183277629277
"66",66,99922.9963089953,60.9253123925393,16.0783786121828
"67",67,99934.0005721384,61.0383963468201,4.96103151482676
"68",68,99932.8919412397,60.4251979671226,6.68286079324588
"69",69,99918.10886197,61.4340930638039,20.4570449661935
"70",70,99914.2884281737,61.8579135066603,23.8536583196346
"71",71,99909.4131891766,61.2887652909799,29.2980455324858
"72",72,99917.8785163225,61.6491831936915,20.4723004838358
"73",73,99915.275501617,61.0463411852039,23.6781571977972
"74",74,99920.0137758654,62.3003116262249,17.685912508424
"75",75,99919.0320005229,62.544494409325,18.4235050678336
"76",76,99945.3629707825,63.6457307574823,-9.00870153995468
