"","Day","S","I","R"
"1",1,98991.0706724118,1003.29865788527,5.6306697029517
"2",2,98983.760249542,1007.31491095249,8.92483950554645
"3",3,98986.0974382485,1010.14597258764,3.75658916385988
"4",4,98998.0694408653,1013.56104182151,-11.6304826868053
"5",5,98999.7523403549,1016.20029094864,-15.9526313034906
"6",6,98975.801984885,1019.20821360601,4.98980150900485
"7",7,98968.1008918783,1022.19764320436,9.70146491731601
"8",8,98940.3706218676,1025.63937748494,33.99000064751
"9",9,98944.3183528353,1028.13897752014,27.5426696445947
"10",10,98931.555452281,1031.56907046158,36.8754772574773
"11",11,98926.5126133554,1033.14740360603,40.3399830386197
"12",12,98921.4438293525,1033.80585750344,44.7503131440837
"13",13,98914.2068546625,1037.56535875164,48.2277865859397
"14",14,98911.9315982605,1040.60538939781,47.4630123417061
"15",15,98908.5061927777,1044.95102714858,46.5427800738032
"16",16,98896.2502239659,1046.93368612514,56.8160899089496
"17",17,98874.2167571221,1050.69962122951,75.0836216484413
"18",18,98868.8260074907,1053.53759135428,77.6364011550388
"19",19,98871.1941925957,1055.20281036516,73.6029970392057
"20",20,98865.7680148315,1056.8245129348,77.4074722337534
"21",21,98887.9968841577,1060.51898423504,51.4841316073195
"22",22,98870.0457539113,1062.644806596,67.3094394927085
"23",23,98854.7524443993,1066.70375561991,78.5437999808369
"24",24,98861.3814722395,1070.14665810316,68.4718696573533
"25",25,98858.3325530636,1073.12168772167,68.5457592147862
"26",26,98851.4717581643,1076.92082775108,71.6074140846839
"27",27,98851.3407598333,1081.4203273965,67.2389127702007
"28",28,98835.4470553079,1086.66107933938,77.8918653527544
"29",29,98817.2377135544,1089.30730361083,93.4549828348532
"30",30,98813.6209766409,1093.52125374875,92.8577696103583
"31",31,98813.6751131815,1097.03168944341,89.2931973751664
"32",32,98822.633014616,1099.95361830705,77.4133670769935
"33",33,98817.2696256763,1102.27677921023,80.4535951134899
"34",34,98808.2315879771,1104.40946854057,87.3589434824148
"35",35,98790.2196966094,1109.56127206481,100.219031325783
"36",36,98778.3153368734,1113.51699670893,108.167666417657
"37",37,98783.7898854777,1116.78468350733,99.4254310149812
"38",38,98769.0536026666,1119.45706436772,111.489332965727
"39",39,98755.0473902154,1123.05762712364,121.894982661021
"40",40,98754.126571096,1126.34800029549,119.525428608497
"41",41,98744.0563768484,1128.15794237607,127.785680775545
"42",42,98745.9301202585,1131.42496359677,122.644916144746
"43",43,98744.5028267587,1134.49142906811,121.005744173232
"44",44,98739.1170207239,1139.76360326127,121.119376014844
"45",45,98731.0701826439,1142.31296512718,126.616852228911
"46",46,98722.1855129415,1145.20547022259,132.609016835953
"47",47,98711.0443807373,1147.32803829099,141.62758097174
"48",48,98693.0802116589,1150.37707420718,156.542714133913
"49",49,98680.0123314287,1152.71523345489,167.272435116457
"50",50,98676.0284478107,1155.15421652942,168.817335659861
"51",51,98679.7067702791,1157.08738778718,163.205841933735
"52",52,98681.2282483572,1160.43643171068,158.335319932156
"53",53,98667.5880685339,1165.56473252969,166.847198936483
"54",54,98653.7181308875,1169.61247822879,176.66939088371
"55",55,98648.576454159,1174.0973973424,177.326148498635
"56",56,98638.2058892558,1178.01278824361,183.781322500634
"57",57,98635.0500805138,1180.77431357915,184.175605907097
"58",58,98613.5509533832,1183.8084039376,202.640642679184
"59",59,98620.6289497937,1187.89157735838,191.479472847902
"60",60,98629.5418161377,1191.76705737932,178.691126482984
"61",61,98618.3296024053,1195.91761540561,185.752782189123
"62",62,98598.110005409,1201.49395621044,200.396038380534
"63",63,98577.9481986901,1204.10739929436,217.944402015597
"64",64,98584.8778800705,1207.53176067174,207.590359257765
"65",65,98552.441834424,1211.6436089533,235.914556622673
"66",66,98542.197209063,1214.61204283269,243.190748104305
"67",67,98536.8514337264,1216.6573378089,246.491228464703
"68",68,98535.6911661737,1221.74501068592,242.563823140408
"69",69,98520.2415088934,1225.09351549977,254.664975606838
"70",70,98530.216413634,1227.0531278073,242.730458558745
"71",71,98515.7366403947,1230.50947787099,253.753881734301
"72",72,98520.8873346864,1233.86581152576,245.246853787906
"73",73,98518.5873191995,1237.39596853659,244.016712263919
"74",74,98512.1561215464,1241.59094299532,246.252935458355
"75",75,98501.6918354826,1244.87057784937,253.437586668061
"76",76,98483.7327057115,1248.29651938242,267.970774906123
"77",77,98469.5524828455,1251.10810565251,279.339411502012
"78",78,98443.9127925159,1256.674025014,299.413182470172
"79",79,98453.0475747468,1260.51248976433,286.439935488871
"80",80,98466.3194450692,1264.16653478049,269.514020150359
"81",81,98452.8295120925,1267.42405347094,279.746434436626
"82",82,98451.2271803942,1271.54700637599,277.22581322987
"83",83,98432.8864537943,1274.59312311486,292.520423090871
"84",84,98436.8516767684,1279.24919983648,283.89912339513
