"","Day","S","I","R"
"1",1,101512.15229106,1044.99519053868,-2557.14748159908
"2",2,101512.15229106,1044.99519053868,-2557.14748159908
"3",3,101512.15229106,1044.99519053868,-2557.14748159908
"4",4,101512.15229106,1044.99519053868,-2557.14748159908
"5",5,101512.15229106,1044.99519053868,-2557.14748159908
"6",6,101512.15229106,1044.99519053868,-2557.14748159908
"7",7,101512.15229106,1044.99519053868,-2557.14748159908
"8",8,101512.15229106,1044.99519053868,-2557.14748159908
"9",9,101512.15229106,1044.99519053868,-2557.14748159908
"10",10,101512.15229106,1044.99519053868,-2557.14748159908
"11",11,101118.888209287,1438.25927231213,-2557.14748159908
"12",12,101118.888209287,1438.25927231213,-2557.14748159908
"13",13,101118.888209287,1438.25927231213,-2557.14748159908
"14",14,101118.888209287,1438.25927231213,-2557.14748159908
"15",15,101118.888209287,1438.25927231213,-2557.14748159908
"16",16,101118.888209287,1438.25927231213,-2557.14748159908
"17",17,100458.342759374,1259.50656973059,-1717.84932910447
"18",18,100458.342759374,1259.50656973059,-1717.84932910447
"19",19,100458.342759374,1259.50656973059,-1717.84932910447
"20",20,100458.342759374,1259.50656973059,-1717.84932910447
"21",21,100458.342759374,1259.50656973059,-1717.84932910447
"22",22,100458.342759374,1259.50656973059,-1717.84932910447
"23",23,100458.342759374,1259.50656973059,-1717.84932910447
"24",24,100458.342759374,1259.50656973059,-1717.84932910447
"25",25,100458.342759374,1259.50656973059,-1717.84932910447
"26",26,100458.342759374,1259.50656973059,-1717.84932910447
"27",27,100458.342759374,1259.50656973059,-1717.84932910447
"28",28,100458.342759374,1259.50656973059,-1717.84932910447
"29",29,100458.342759374,1259.50656973059,-1717.84932910447
"30",30,100458.342759374,1259.50656973059,-1717.84932910447
"31",31,100458.342759374,1259.50656973059,-1717.84932910447
"32",32,100458.342759374,1259.50656973059,-1717.84932910447
"33",33,100458.342759374,1259.50656973059,-1717.84932910447
"34",34,100458.342759374,1259.50656973059,-1717.84932910447
"35",35,100458.342759374,1259.50656973059,-1717.84932910447
"36",36,100458.342759374,1259.50656973059,-1717.84932910447
"37",37,100458.342759374,1259.50656973059,-1717.84932910447
"38",38,100458.342759374,1259.50656973059,-1717.84932910447
"39",39,100458.342759374,1259.50656973059,-1717.84932910447
"40",40,100458.342759374,1259.50656973059,-1717.84932910447
"41",41,100458.342759374,1259.50656973059,-1717.84932910447
"42",42,100458.342759374,1259.50656973059,-1717.84932910447
"43",43,100458.342759374,1259.50656973059,-1717.84932910447
"44",44,100458.342759374,1259.50656973059,-1717.84932910447
