"","Day","S","I","R"
"1",1,98975.547550225,1001.32220984928,23.1302399257028
"2",2,98984.8492177409,1004.44563878552,10.7051434736173
"3",3,98979.5503286511,1009.20829786204,11.2413734868712
"4",4,98976.7118617717,1011.65197770143,11.6361605268804
"5",5,98961.8502804611,1014.21260516565,23.9371143732154
"6",6,98982.3477098026,1016.45590931787,1.19638087950015
"7",7,98943.6990652636,1019.68695642975,36.613978306695
"8",8,98954.4699887904,1025.8231138156,19.7068973940584
"9",9,98916.443790919,1026.47173436689,57.0844747141339
"10",10,98939.7610700417,1030.59192300247,29.6470069558454
"11",11,98938.7113782009,1033.63111973663,27.6575020625539
"12",12,98916.6277122505,1036.64607835804,46.7262093915026
"13",13,98928.3657637158,1039.22290509797,32.4113311862924
"14",14,98918.4520036118,1040.72957135834,40.8184250298486
"15",15,98918.7125579465,1044.03484316348,37.252598890019
"16",16,98894.3051168108,1048.86676828211,56.8281149070899
"17",17,98886.8040905033,1049.88668617358,63.3092233231729
"18",18,98872.54804368,1054.81089674052,72.6410595794851
"19",19,98880.7741670728,1056.84681035904,62.3790225681858
"20",20,98864.3283740199,1060.08766555442,75.5839604256958
"21",21,98878.2974021258,1062.81088415721,58.8917137169929
"22",22,98865.8100099219,1066.49346701221,67.696523065965
"23",23,98880.6579413005,1070.73271217245,48.6093465270427
"24",24,98840.8283602677,1073.44996651381,85.721673218477
"25",25,98857.8490910822,1075.91328424048,66.2376246773457
"26",26,98834.3670079078,1080.17410027621,85.4588918160308
"27",27,98818.6645505615,1084.12729846695,97.2081509716287
"28",28,98832.5322526557,1085.64100175133,81.8267455929806
"29",29,98806.0221102546,1089.30283443673,104.675055308715
"30",30,98803.3388563808,1092.3044587234,104.356684895882
"31",31,98800.0758687017,1094.25117548432,105.67295581404
"32",32,98803.0137532954,1097.51429640898,99.4719502956368
"33",33,98784.3945293392,1103.58144547036,112.024025190424
"34",34,98798.6226089824,1105.77275618052,95.6046348371414
"35",35,98769.2959945434,1108.87239711712,121.831608339506
"36",36,98776.874955001,1111.52578194966,111.599263049392
"37",37,98769.5434649653,1115.12056928098,115.335965753711
"38",38,98750.8402174785,1118.05311065928,131.106671862296
"39",39,98750.5776715625,1121.21845181576,128.203876621775
"40",40,98741.6493114872,1124.68422119996,133.666467312833
"41",41,98751.1332130498,1126.74384990033,122.122937049868
"42",42,98750.4088721353,1133.45824638751,116.132881477183
