"","Day","S","I","R"
"1",1,102218.007115121,1071.85359976667,-3289.86071488734
"2",2,102218.007115121,1071.85359976667,-3289.86071488734
"3",3,102218.007115121,1071.85359976667,-3289.86071488734
"4",4,102218.007115121,1071.85359976667,-3289.86071488734
"5",5,101760.379251906,1006.40704988164,-2766.78630178759
"6",6,101760.379251906,1006.40704988164,-2766.78630178759
"7",7,101025.415587161,925.763608162164,-1951.17919532299
"8",8,101025.415587161,925.763608162164,-1951.17919532299
"9",9,99276.3448699669,1187.08865831352,-463.433528280368
"10",10,99276.3448699669,1067.0950654236,-343.439935390448
"11",11,99276.3448699669,1067.0950654236,-343.439935390448
"12",12,99276.3448699669,1067.0950654236,-343.439935390448
"13",13,99276.3448699669,1067.0950654236,-343.439935390448
"14",14,99276.3448699669,1067.0950654236,-343.439935390448
"15",15,99276.3448699669,1067.0950654236,-343.439935390448
"16",16,99276.3448699669,1067.0950654236,-343.439935390448
"17",17,99276.3448699669,1067.0950654236,-343.439935390448
"18",18,99276.3448699669,1067.0950654236,-343.439935390448
"19",19,99276.3448699669,1067.0950654236,-343.439935390448
"20",20,99276.3448699669,1067.0950654236,-343.439935390448
"21",21,99276.3448699669,1067.0950654236,-343.439935390448
"22",22,99276.3448699669,1067.0950654236,-343.439935390448
"23",23,99276.3448699669,1067.0950654236,-343.439935390448
"24",24,99276.3448699669,1067.0950654236,-343.439935390448
"25",25,99276.3448699669,1067.0950654236,-343.439935390448
"26",26,99276.3448699669,1067.0950654236,-343.439935390448
"27",27,99276.3448699669,1067.0950654236,-343.439935390448
"28",28,99276.3448699669,1067.0950654236,-343.439935390448
"29",29,99276.3448699669,1067.0950654236,-343.439935390448
"30",30,99276.3448699669,1067.0950654236,-343.439935390448
"31",31,99276.3448699669,1067.0950654236,-343.439935390448
"32",32,99276.3448699669,1067.0950654236,-343.439935390448
"33",33,99276.3448699669,1067.0950654236,-343.439935390448
"34",34,99276.3448699669,1067.0950654236,-343.439935390448
"35",35,99276.3448699669,1067.0950654236,-343.439935390448
"36",36,99276.3448699669,1067.0950654236,-343.439935390448
"37",37,99276.3448699669,1067.0950654236,-343.439935390448
"38",38,99276.3448699669,1067.0950654236,-343.439935390448
"39",39,99276.3448699669,1067.0950654236,-343.439935390448
"40",40,99276.3448699669,1067.0950654236,-343.439935390448
"41",41,99276.3448699669,1067.0950654236,-343.439935390448
"42",42,99276.3448699669,1067.0950654236,-343.439935390448
"43",43,99276.3448699669,1067.0950654236,-343.439935390448
"44",44,99276.3448699669,1067.0950654236,-343.439935390448
"45",45,99276.3448699669,1067.0950654236,-343.439935390448
"46",46,99276.3448699669,1067.0950654236,-343.439935390448
"47",47,99276.3448699669,1067.0950654236,-343.439935390448
"48",48,99276.3448699669,1067.0950654236,-343.439935390448
"49",49,99276.3448699669,1067.0950654236,-343.439935390448
"50",50,99276.3448699669,1067.0950654236,-343.439935390448
"51",51,99276.3448699669,1067.0950654236,-343.439935390448
"52",52,99276.3448699669,1067.0950654236,-343.439935390448
"53",53,99276.3448699669,1067.0950654236,-343.439935390448
"54",54,99276.3448699669,1067.0950654236,-343.439935390448
"55",55,99276.3448699669,1067.0950654236,-343.439935390448
"56",56,99276.3448699669,1067.0950654236,-343.439935390448
"57",57,99276.3448699669,1067.0950654236,-343.439935390448
"58",58,99276.3448699669,1067.0950654236,-343.439935390448
"59",59,99276.3448699669,1067.0950654236,-343.439935390448
"60",60,99276.3448699669,1067.0950654236,-343.439935390448
"61",61,99276.3448699669,1067.0950654236,-343.439935390448
"62",62,99276.3448699669,1067.0950654236,-343.439935390448
"63",63,99276.3448699669,1067.0950654236,-343.439935390448
"64",64,99276.3448699669,1067.0950654236,-343.439935390448
"65",65,99276.3448699669,1067.0950654236,-343.439935390448
"66",66,99276.3448699669,1067.0950654236,-343.439935390448
"67",67,99276.3448699669,1067.0950654236,-343.439935390448
"68",68,99276.3448699669,1067.0950654236,-343.439935390448
"69",69,99276.3448699669,1067.0950654236,-343.439935390448
"70",70,99276.3448699669,1067.0950654236,-343.439935390448
"71",71,99276.3448699669,1067.0950654236,-343.439935390448
"72",72,99276.3448699669,1067.0950654236,-343.439935390448
"73",73,99276.3448699669,1067.0950654236,-343.439935390448
"74",74,99276.3448699669,1067.0950654236,-343.439935390448
"75",75,99276.3448699669,972.630656443587,-248.975526410438
"76",76,98721.4379105131,899.209462414888,379.352627071989
"77",77,98721.4379105131,899.209462414888,379.352627071989
"78",78,98721.4379105131,899.209462414888,379.352627071989
"79",79,98721.4379105131,899.209462414888,379.352627071989
"80",80,98721.4379105131,899.209462414888,379.352627071989
"81",81,98721.4379105131,899.209462414888,379.352627071989
"82",82,98721.4379105131,899.209462414888,379.352627071989
"83",83,98721.4379105131,899.209462414888,379.352627071989
"84",84,98721.4379105131,899.209462414888,379.352627071989
"85",85,98721.4379105131,899.209462414888,379.352627071989
"86",86,98721.4379105131,899.209462414888,379.352627071989
"87",87,98721.4379105131,899.209462414888,379.352627071989
"88",88,98721.4379105131,899.209462414888,379.352627071989
"89",89,98721.4379105131,899.209462414888,379.352627071989
"90",90,98721.4379105131,899.209462414888,379.352627071989
"91",91,98721.4379105131,899.209462414888,379.352627071989
"92",92,98721.4379105131,899.209462414888,379.352627071989
"93",93,98721.4379105131,899.209462414888,379.352627071989
"94",94,98721.4379105131,899.209462414888,379.352627071989
"95",95,98721.4379105131,899.209462414888,379.352627071989
"96",96,98721.4379105131,899.209462414888,379.352627071989
"97",97,98721.4379105131,899.209462414888,379.352627071989
"98",98,98721.4379105131,899.209462414888,379.352627071989
"99",99,98721.4379105131,899.209462414888,379.352627071989
"100",100,98721.4379105131,899.209462414888,379.352627071989
"101",101,98721.4379105131,899.209462414888,379.352627071989
"102",102,98721.4379105131,899.209462414888,379.352627071989
"103",103,97293.4115315008,1430.12124215407,1276.46722634512
"104",104,97293.4115315008,1430.12124215407,1276.46722634512
"105",105,97293.4115315008,1430.12124215407,1276.46722634512
"106",106,97293.4115315008,1430.12124215407,1276.46722634512
"107",107,97293.4115315008,1430.12124215407,1276.46722634512
"108",108,97293.4115315008,1430.12124215407,1276.46722634512
"109",109,97293.4115315008,1430.12124215407,1276.46722634512
"110",110,97293.4115315008,1430.12124215407,1276.46722634512
"111",111,97293.4115315008,1430.12124215407,1276.46722634512
"112",112,97293.4115315008,1430.12124215407,1276.46722634512
"113",113,97293.4115315008,1430.12124215407,1276.46722634512
"114",114,97293.4115315008,1430.12124215407,1276.46722634512
"115",115,97293.4115315008,1430.12124215407,1276.46722634512
"116",116,96926.2344570931,1797.29831656178,1276.46722634512
"117",117,96926.2344570931,1797.29831656178,1276.46722634512
"118",118,96926.2344570931,1797.29831656178,1276.46722634512
"119",119,96926.2344570931,1797.29831656178,1276.46722634512
"120",120,96926.2344570931,1797.29831656178,1276.46722634512
"121",121,96926.2344570931,1797.29831656178,1276.46722634512
"122",122,96926.2344570931,1797.29831656178,1276.46722634512
"123",123,96926.2344570931,1797.29831656178,1276.46722634512
"124",124,96926.2344570931,1797.29831656178,1276.46722634512
"125",125,96926.2344570931,1797.29831656178,1276.46722634512
"126",126,96926.2344570931,1797.29831656178,1276.46722634512
"127",127,96926.2344570931,1797.29831656178,1276.46722634512
"128",128,96926.2344570931,1797.29831656178,1276.46722634512
