"","Day","S","I","R"
"1",1,98588.9263655024,997.21688045573,413.856754041895
"2",2,98549.588837772,952.684116173755,497.727046054208
"3",3,98548.2820326832,990.495668998346,461.222298318457
"4",4,98717.6796058673,983.737660691105,298.582733441598
"5",5,98647.1712276498,970.122923338636,382.705849011556
"6",6,98860.3322233774,944.477783949065,195.189992673598
"7",7,99021.4938278606,937.386731839057,41.1194403003991
"8",8,99057.1199450999,984.112276278096,-41.2322213779329
"9",9,98996.2558631853,1005.3940079854,-1.64987117066485
"10",10,98282.0529528356,987.376792009075,730.570255155369
"11",11,97999.1251210059,1022.75453191919,978.120347074989
"12",12,98140.1227437395,997.914391884164,861.96286437633
"13",13,98543.4932999561,1020.22365114661,436.283048897321
"14",14,98532.4803899966,1027.34005047379,440.17955952966
"15",15,98983.1708726406,1011.19608688814,5.63304047127982
"16",16,99135.1247450202,1050.6714020108,-185.796147031013
"17",17,99196.1981073848,1044.0702330705,-240.268340455242
"18",18,99075.8228327674,1066.08872002497,-141.911552792297
"19",19,99163.4463704711,1063.51477093105,-226.961141402128
"20",20,98986.8526463217,1038.75066523039,-25.6033115520839
"21",21,98497.6925614185,1047.99478952431,454.312649057257
"22",22,98580.0853096911,1058.8942115416,361.020478767308
"23",23,98930.8806645175,1051.93359165951,17.1857438229887
"24",24,98505.1920396787,1098.12734293911,396.680617382269
"25",25,98818.1397716634,1134.28740442702,47.5728239096057
"26",26,98634.3241075959,1135.66242098035,230.013471423842
"27",27,99060.0712791938,1167.97521483865,-228.046494032436
"28",28,99433.8736151774,1107.14939408323,-541.023009260599
"29",29,98826.2699505762,1044.22204509239,129.508004331476
"30",30,98350.2146318062,1047.68226591963,602.1031022742
"31",31,98977.7180775718,1108.4785010308,-86.1965786026059
"32",32,98860.2009572514,1089.80438189739,49.9946608512507
"33",33,99019.2138105653,1104.09740523433,-123.311215799623
"34",34,98504.1373812322,1049.93631371161,445.926305056215
"35",35,98380.6321755115,1041.61626244702,577.751562041518
"36",36,98218.8933425444,1056.11773484389,724.988922611728
"37",37,98120.2243516981,1022.52163520472,857.25401309724
"38",38,98321.2726185487,997.870394378999,680.856987072322
"39",39,98775.9460710788,1003.54923697389,220.504691947312
"40",40,98974.6003952725,1037.85160389556,-12.4519991680542
"41",41,98555.4909546588,1028.62979347118,415.879251870016
"42",42,98680.1176790975,1098.72237826741,221.159942635157
"43",43,99199.9042349575,1098.28126342933,-298.185498386783
"44",44,98923.7242546802,1122.57211086416,-46.2963655443666
"45",45,98944.1048996982,1114.43914963244,-58.5440493305807
"46",46,99148.7872694697,1114.99319438609,-263.780463855713
"47",47,99124.9564257198,1055.38941918592,-180.345844905694
"48",48,99024.8952198976,1085.81125843433,-110.706478331864
"49",49,99140.0757653638,1151.86568881751,-291.941454181232
"50",50,98387.9257041625,1190.4499253755,421.624370461995
"51",51,98306.4864969934,1218.23411350806,475.279389498624
"52",52,99108.6155461017,1249.84943573956,-358.464981841209
"53",53,99236.5265483895,1262.36741605846,-498.893964447934
"54",54,98983.4406573406,1176.3386101091,-159.779267449684
