"","Day","S","I","R"
"1",1,99924.30871388,1.60520135483701,74.0860847651592
"2",2,99893.001106861,4.278339352117,102.720553786879
"3",3,99880.549619186,4.714361355045,114.736019458955
"4",4,99873.747997413,8.99902796759901,117.252974619405
"5",5,99864.304015847,10.021183038019,125.674801114985
"6",6,99840.46781149,13.745333940342,145.786854569656
"7",7,99817.306964809,17.999152901644,164.693882289354
"8",8,99786.302178332,21.121726705396,192.576094962604
"9",9,99766.708541954,22.883771542577,210.407686503429
"10",10,99731.107520952,24.96137151615,243.931107531844
"11",11,99691.722623489,27.0354447596159,281.241931751387
"12",12,99664.837673409,31.1954849775549,303.966841613447
"13",13,99654.479479859,32.8411287684502,312.679391372549
"14",14,99650.843647468,36.1348794877771,313.021473044217
"15",15,99605.497891769,38.8319509331885,355.670157297809
"16",16,99605.44404064,43.0661812581887,351.489778101816
"17",17,99589.764066619,46.0299082440293,364.206025136973
"18",18,99579.303774435,48.5737697889406,372.122455776059
"19",19,99561.069320395,50.4732314579299,388.457448147063
"20",20,99521.467991219,53.8380486848091,424.693960096187
"21",21,99510.116791717,56.519339493138,433.363868789867
"22",22,99506.812556252,61.4577707046015,431.729673043399
"23",23,99473.842554026,65.1231866711937,461.034259302799
"24",24,99455.01329156,66.9432812219915,478.043427218012
"25",25,99435.903322441,67.2666082562682,496.830069302738
"26",26,99421.622229491,71.504555911913,506.87321459709
"27",27,99389.811629025,73.9112044105652,536.277166564431
"28",28,99354.337676166,77.5270567579532,568.135267076043
"29",29,99346.162438769,78.9700543913891,574.867506839616
"30",30,99319.258547716,82.5620276893593,598.179424594638
"31",31,99295.749071306,85.4622002692607,618.788728424743
"32",32,99285.350958436,88.8223816229651,625.826659941035
"33",33,99241.593781385,91.10673357709,667.299485037907
"34",34,99201.687544031,93.3922865936807,704.920169375323
"35",35,99208.931426179,96.6460275606811,694.42254626032
"36",36,99183.637657849,99.1842226477678,717.178119503231
"37",37,99162.027167012,101.169787654133,736.803045333868
"38",38,99139.770036978,105.869484235414,754.360478786579
"39",39,99127.9589685,107.682120737632,764.358910762372
"40",40,99106.163440938,110.358239556458,783.478319505536
"41",41,99102.135686912,112.4070283371,785.457284750894
"42",42,99071.692838324,116.179402478863,812.127759197135
"43",43,99050.103193421,119.136099427657,830.760707151339
"44",44,99019.650865865,120.920369537885,859.428764597117
"45",45,99000.22238562,122.065066896236,877.712547483764
"46",46,98982.62867449,125.748754548404,891.622570961597
