"","Day","S","I","R"
"1",1,99931.879824712,0.464215914630998,67.6559593733696
"2",2,99912.818497055,2.05620620897901,85.1252967360145
"3",3,99904.224613632,5.09995409971199,90.6754322682853
"4",4,99859.455307748,7.420601461153,133.124090790853
"5",5,99821.709167838,7.37693345068701,170.913898711318
"6",6,99804.606290813,12.44963601915,182.944073167853
"7",7,99770.613052245,15.642437980466,213.744509774537
"8",8,99752.481272816,18.340391857311,229.178335326686
"9",9,99736.312440503,21.421825938922,242.265733558082
"10",10,99712.926542097,25.0441122138543,262.029345689142
"11",11,99702.432406855,26.9623993913166,270.605193753678
"12",12,99688.768548275,30.4185334762027,280.812918248802
"13",13,99676.668618102,33.1550279757121,290.176353922283
"14",14,99649.881231134,36.6375670269366,313.481201839063
"15",15,99648.318899291,38.1998988701556,313.481201838844
"16",16,99624.361037412,41.4624954256245,334.176467162372
"17",17,99602.127611121,44.5338617305162,353.338527148481
"18",18,99581.770828291,47.2907031162423,370.938468592755
"19",19,99561.886348535,49.2085483870064,388.905103077992
"20",20,99522.974752529,51.9988095514149,425.026437919585
"21",21,99504.641955753,54.7034931976822,440.654551049315
"22",22,99475.17569037,57.5935517686361,467.230757861363
"23",23,99460.727726814,59.9144807448452,479.357792441152
"24",24,99435.591902644,60.7775944515084,503.630502904496
"25",25,99420.62968959,64.3951801755329,514.975130234466
"26",26,99403.888159959,67.5370643439958,528.574775697009
"27",27,99385.225025297,73.0876794928801,541.687295210123
"28",28,99383.378794476,74.9339103147678,541.687295209235
"29",29,99360.830602307,78.7231776714098,560.446220021587
"30",30,99335.949505324,81.859509244892,582.190985431113
"31",31,99312.116975734,84.7968826088857,603.086141657119
"32",32,99299.648959868,87.9075769918197,612.443463140175
"33",33,99275.23202989,89.8188471996766,634.949122910322
"34",34,99262.364446744,92.6710490602626,644.964504195735
"35",35,99231.167155871,97.9792771863556,670.853566942651
"36",36,99197.417340568,99.9074222820724,702.675237149923
"37",37,99169.20510897,101.1360612271,729.658829802903
"38",38,99140.7706557,103.853507805819,755.375836494176
"39",39,99130.355552661,104.74705874373,764.89738859527
"40",40,99119.420016674,107.979548890818,772.600434435177
"41",41,99097.810527419,112.025682956833,790.163789624165
"42",42,99077.618489396,115.133961989465,807.247548614534
"43",43,99071.558712428,119.684852105234,808.756435466767
"44",44,99049.640337299,119.626740239172,830.732922461825
"45",45,99034.224491422,123.873328399987,841.902180178006
"46",46,99001.91539771,126.007800000487,872.076802289507
"47",47,98967.560868691,131.316494567557,901.122636741444
"48",48,98954.991490766,132.478412699998,912.530096534004
"49",49,98932.275167072,133.620066826936,934.104766101061
"50",50,98904.0901335581,135.65124987038,960.258616571519
"51",51,98878.5742511697,138.413362036065,983.012386794233
"52",52,98859.6646291089,140.994492964054,999.340877927048
"53",53,98830.229093886,145.507829926291,1024.26307618771
"54",54,98830.229093886,145.507829926291,1024.26307618771
"55",55,98800.9292472951,151.851264610985,1047.21948809391
"56",56,98786.4558282287,156.008191731654,1057.53598003964
"57",57,98728.2744389785,158.448017480465,1113.27754354104
"58",58,98702.8674945574,162.360305490671,1134.77219995193
"59",59,98702.8674945574,162.360305490671,1134.77219995193
"60",60,98682.3271565301,164.061554547286,1153.61128892262
"61",61,98668.7180439395,167.111635478128,1164.17032058237
"62",62,98631.0837900838,170.45065583961,1198.4655540766
"63",63,98613.7841621911,173.324448723524,1212.89138908537
"64",64,98605.847863479,176.254795230592,1217.89734129041
"65",65,98590.1605107429,180.640948098319,1229.19854115877
"66",66,98586.8131034629,183.257217183937,1229.92967935316
"67",67,98564.7691396752,186.296169867164,1248.93469045763
"68",68,98520.9278305516,189.108446005629,1289.96372344277
"69",69,98505.0126123571,192.089242651661,1302.89814499124
"70",70,98501.7163632453,194.286077126065,1303.99755962863
"71",71,98485.7934559932,198.52110064314,1315.68544336366
"72",72,98450.0114870266,199.125191659131,1350.86332131427
"73",73,98437.869133867,202.629969835479,1359.50089629752
"74",74,98408.2721041197,205.675559724214,1386.05233615609
"75",75,98368.4742920169,206.193228567302,1425.3324794158
"76",76,98350.0399243312,208.69793483954,1441.26214082926
"77",77,98330.3216031847,211.578665031938,1458.09973178336
"78",78,98321.955934976,215.394492737301,1462.6495722867
"79",79,98306.4953687633,217.327823354256,1476.17680788245
"80",80,98273.1671830585,221.194592151899,1505.6382247896
"81",81,98259.8200409428,223.186615902993,1516.99334315421
"82",82,98248.0198409026,226.414432230977,1525.56572686642
"83",83,98213.3605875636,229.069226245504,1557.5701861909
"84",84,98185.9902056916,231.118725815265,1582.89106849313
"85",85,98150.0855993416,234.944082996745,1614.97031766165
"86",86,98141.5647460794,238.290092151702,1620.1451617689
"87",87,98098.4067971005,240.663176241353,1660.93002665815
"88",88,98093.6799087734,243.190686142561,1663.12940508404
"89",89,98060.6494516021,245.722175238886,1693.62837315901
"90",90,98040.0625313761,249.386666950777,1710.55080167313
"91",91,98023.3604186806,252.13335338012,1724.50622793928
"92",92,98011.0989951806,254.248594654002,1734.6524101654
"93",93,97992.9381648149,256.150104432501,1750.9117307526
"94",94,97975.0239575225,259.819511852033,1765.15653062547
"95",95,97947.9852806417,262.114191678013,1789.90052768028
"96",96,97931.2476861318,265.876872350895,1802.87544151731
"97",97,97888.7849205627,269.172660315372,1842.04241912193
"98",98,97887.2095893862,270.747991491873,1842.04241912193
"99",99,97852.2389428136,274.285676180112,1873.47538100629
"100",100,97825.8170567969,276.865668496742,1897.31727470635
"101",101,97815.7188723653,280.634723406714,1903.64640422799
"102",102,97798.6087787919,280.970734927983,1920.42048628012
"103",103,97772.8635458856,285.134465453538,1942.00198866086
"104",104,97756.2706866237,287.903170308622,1955.82614306768
"105",105,97735.9909610287,290.88343726225,1973.12560170905
"106",106,97718.8919931018,294.902474946798,1986.2055319514
"107",107,97685.9488682967,299.902692885943,2014.14843881735
"108",108,97671.8525565084,300.259827880002,2027.8876156116
"109",109,97632.5901971607,303.787810396618,2063.62199244269
"110",110,97632.5901971607,303.787810396618,2063.62199244269
"111",111,97616.8956027954,307.138996755206,2075.9654004494
"112",112,97610.3801278364,310.859294953935,2078.76057720967
"113",113,97585.3733594186,311.946552187827,2102.68008839357
"114",114,97579.1952130194,315.566377208161,2105.23840977244
"115",115,97544.7535332883,316.891780791446,2138.35468592026
"116",116,97531.9993520679,321.518737403502,2146.4819105286
"117",117,97495.6150501044,323.785812519131,2180.59913737647
"118",118,97464.1364134899,326.463841203306,2209.39974530679
"119",119,97448.832104905,329.848310373102,2221.3195847219
"120",120,97424.2366262631,332.825789643697,2242.93758409321
"121",121,97409.2514662428,335.66866484469,2255.07986891251
"122",122,97396.2436453524,336.74284282867,2267.01351181893
"123",123,97369.3008003919,341.739538364567,2288.95966124354
"124",124,97347.5550342021,345.024496624857,2307.42046917304
"125",125,97315.2609610524,346.506109477351,2338.23292947025
"126",126,97293.758078886,349.190699946114,2357.05122116788
"127",127,97258.1592332778,352.544578746545,2389.29618797566
"128",128,97258.0224921354,352.68131988893,2389.29618797568
"129",129,97243.0793051627,356.162667632629,2400.75802720467
"130",130,97220.4408303368,357.731421875267,2421.82774778794
"131",131,97183.8996242841,359.976628096402,2456.1237476195
"132",132,97168.2722004773,361.927963353563,2469.79983616914
"133",133,97134.659540591,365.618838801832,2499.72162060716
"134",134,97115.7316591933,374.475977029753,2509.79236377694
"135",135,97115.7316591933,374.475977029753,2509.79236377694
"136",136,97115.7316591933,374.475977029753,2509.79236377694
"137",137,97093.7054222217,380.514998093506,2525.7795796848
"138",138,97036.5634108163,382.402366375735,2581.03422280796
"139",139,96996.4238014757,384.319420619405,2619.2567779049
"140",140,96981.5284296821,388.411226133771,2630.06034418412
"141",141,96973.9294978831,393.119822684328,2632.95067943257
"142",142,96961.3002416442,393.963234544613,2644.73652381118
"143",143,96943.3396405032,395.561928266482,2661.09843123032
"144",144,96913.8979667523,400.715768287018,2685.38626496069
"145",145,96893.3346943992,402.900358048965,2703.76494755184
"146",146,96860.9059603602,404.289254738848,2734.80478490094
"147",147,96834.1042740734,406.851892520314,2759.04383340629
"148",148,96823.0706558165,412.084386910166,2764.84495727334
"149",149,96823.0706558165,412.084386910166,2764.84495727334
"150",150,96815.6276929811,415.852057171133,2768.52024984777
"151",151,96782.7408859074,418.149646622184,2799.10946747041
"152",152,96747.3663653242,420.95254509779,2831.68108957801
"153",153,96720.6401996032,425.628350601834,2853.73144979497
"154",154,96711.6662386543,429.165099537826,2859.16866180787
"155",155,96695.8411921553,430.834764187093,2873.3240436576
"156",156,96672.814014843,433.361805614352,2893.82417954265
"157",157,96636.5932968482,435.443324354357,2927.96337879745
"158",158,96610.0146462368,440.495934261354,2949.48941950185
"159",159,96590.6823614545,445.102109383201,2964.2155291623
"160",160,96590.6823614545,445.102109383201,2964.2155291623
"161",161,96559.2054253263,446.374002520852,2994.42057215284
"162",162,96542.7356896129,449.165525803071,3008.09878458402
"163",163,96515.8382601061,452.659000344734,3031.50273954916
"164",164,96503.7247215476,455.535358245935,3040.73992020647
"165",165,96472.8632327498,459.914570331293,3067.2221969189
"166",166,96440.8660486982,462.023164355191,3097.11078694661
"167",167,96428.1475063265,466.30744975753,3105.54504391597
"168",168,96411.2940373079,469.560236962944,3119.14572572915
"169",169,96390.77457136,469.63061589147,3139.59481274853
"170",170,96375.8256385365,471.202837200755,3152.97152426275
"171",171,96343.1974479137,475.8435763388,3180.9589757475
"172",172,96337.3635084822,480.660670346045,3181.97582117175
"173",173,96327.6356457519,483.279200273062,3189.08515397504
"174",174,96299.0261963337,486.286304418752,3214.68749924755
"175",175,96271.0555837091,491.226369407586,3237.71804688332
"176",176,96271.0555837091,491.226369407586,3237.71804688332
"177",177,96249.0018838128,494.898154621754,3256.09996156544
"178",178,96219.8239917537,495.687002503663,3284.48900574264
"179",179,96197.6601225302,498.493445812068,3303.84643165773
"180",180,96165.2078386778,501.778785502522,3333.01337581968
"181",181,96158.0516604423,504.039000077546,3337.90933948015
"182",182,96153.3536774353,505.653340642061,3340.99298192264
"183",183,96130.8525460369,508.501053898262,3360.64640006484
"184",184,96092.3193552861,510.741947706779,3396.93869700712
"185",185,96076.4877214522,515.084364044497,3408.4279145033
"186",186,96051.8891458594,519.721755274138,3428.38909886646
"187",187,96023.1103879965,523.409262781665,3453.48034922184
"188",188,95993.120349201,526.282767938794,3480.59688286021
"189",189,95993.120349201,526.282767938794,3480.59688286021
"190",190,95961.2139382176,530.05661230911,3508.72944947329
"191",191,95936.9626265059,532.447011259323,3530.59036223477
"192",192,95906.2272003123,534.047795983904,3559.72500370379
"193",193,95883.998073981,536.710098885477,3579.29182713352
"194",194,95866.8539407133,539.444657409041,3593.70140187765
"195",195,95825.7963304706,540.867891016224,3633.33577851317
"196",196,95809.9298506619,544.484379173101,3645.585770165
"197",197,95794.5923979451,545.941061377254,3659.46654067764
"198",198,95758.5247004507,550.152453200616,3691.32284634869
"199",199,95742.4943184659,552.822546659277,3704.68313487482
"200",200,95732.1003267276,553.963110460474,3713.93656281193
"201",201,95704.4114080179,556.489225044857,3739.09936693724
"202",202,95690.0364808059,560.648538268256,3749.31498092585
"203",203,95673.4998226846,564.677051323627,3761.82312599178
"204",204,95643.5517397783,567.841101176624,3788.60715904508
"205",205,95627.1147379292,571.207481568136,3801.67778050267
"206",206,95604.7992172906,575.514794492551,3819.68598821685
"207",207,95594.9925726231,579.093968856506,3825.91345852039
"208",208,95591.3271846891,582.759356790507,3825.91345852039
"209",209,95541.0113955641,583.917602908145,3875.07100152776
"210",210,95524.0950836326,584.11543780491,3891.7894785625
"211",211,95513.8001902057,586.28484601358,3899.91496378072
"212",212,95500.0774213234,589.797187869113,3910.12539080749
"213",213,95471.3127087711,592.36469824381,3936.32259298509
"214",214,95451.7941266812,594.625749948231,3953.58012337057
"215",215,95422.1608042466,597.487184133023,3980.35201162038
"216",216,95409.6506900595,601.085169700629,3989.26414023987
"217",217,95380.8165206016,603.811075408792,4015.37240398961
"218",218,95376.6294550727,606.21341378549,4017.15713114181
"219",219,95360.1069388498,610.657501429431,4029.23555972077
"220",220,95357.5388692,613.225571079175,4029.23555972083
