"","Day","S","I","R"
"1",1,99953.352486113,-1.661681292559,48.30919517956
"2",2,99913.001531623,0.887519535346001,86.1109488416557
"3",3,99874.501096013,5.92243107262,119.576472914378
"4",4,99879.718654021,8.778955563674,111.502390415331
"5",5,99840.088976717,11.963412916512,147.947610366487
"6",6,99820.427601052,15.940974187048,163.631424760955
"7",7,99776.595061441,17.187444669451,206.217493889553
"8",8,99796.334803126,19.392259075678,184.272937798326
"9",9,99749.319033163,21.638243071025,229.042723765972
"10",10,99738.123210197,23.761154651264,238.115635151742
"11",11,99707.266118648,28.4478504131856,264.286030938818
"12",12,99690.14167096,32.087435657124,277.770893382874
"13",13,99665.499103606,33.5182785578612,300.982617836144
"14",14,99664.271829147,35.8115362063063,299.9166346467
"15",15,99614.053178445,39.6196346516294,346.327186903371
"16",16,99625.796367167,43.342850649575,330.860782183425
"17",17,99597.027459849,42.6378031837558,360.334736967237
"18",18,99571.279141287,47.0243951314115,381.696463581589
"19",19,99531.450110814,50.1202111366095,418.429678049395
"20",20,99519.958002299,52.4992294476976,427.542768253305
"21",21,99518.66790131,56.4512983834288,424.880800306578
"22",22,99478.246981601,59.3870523489004,462.365966050102
"23",23,99469.289899441,61.4311032511168,469.278997307877
"24",24,99432.878216585,63.8320523880127,503.289731026988
"25",25,99413.067460756,65.2641634643918,521.668375779601
"26",26,99406.780845748,70.0321822469463,523.186972005055
"27",27,99378.705284389,73.4354669465999,547.859248664402
"28",28,99359.10378594,74.5352870905028,566.360926969502
"29",29,99339.394615003,77.5249453854239,583.080439611581
"30",30,99302.794050027,79.8017907417314,617.404159231264
"31",31,99295.505655137,82.7160167649183,621.778328098075
"32",32,99277.121567637,86.0920049870426,636.786427375953
"33",33,99255.870987598,88.6098708797173,655.519141522284
"34",34,99222.341751281,92.3177529346084,685.340495784394
"35",35,99206.752279378,94.3552847865931,698.892435835413
"36",36,99187.561074989,97.481373844322,714.957551166674
"37",37,99176.440035937,100.778308104539,722.781655958456
"38",38,99144.492236546,102.645568810784,752.862194643223
"39",39,99129.226275413,106.817983357001,763.955741229993
"40",40,99096.04490557,109.59190712143,794.363187308569
"41",41,99100.627466165,111.899355776097,787.473178058908
"42",42,99072.384430087,114.300320635517,813.315249277486
"43",43,99037.436595524,118.895153404883,843.66825107111
"44",44,99024.633002758,120.687865295668,854.679131946335
"45",45,99010.146109708,123.733240589785,866.120649702213
"46",46,98986.690355136,126.734488460533,886.575156403466
"47",47,98983.6119586,129.775540509431,886.612500890571
"48",48,98961.871906672,131.657965526056,906.47012780195
"49",49,98922.8987994649,133.089369180363,944.01183135473
"50",50,98911.2326053153,136.108555206856,952.65883947785
"51",51,98878.6752068977,142.091018875783,979.233774226524
"52",52,98859.5237790038,142.712996123519,997.763224872687
"53",53,98836.8598787641,145.382552510292,1017.75756872561
"54",54,98823.9809584889,146.874360661665,1029.14468084943
"55",55,98798.8584595564,151.558113681052,1049.58342676255
"56",56,98771.1075566741,152.973377561528,1075.91906576437
"57",57,98737.5070689395,155.010952212217,1107.48197884828
"58",58,98749.2029556783,159.067439452575,1091.72960486913
"59",59,98725.0457187582,160.188746840225,1114.76553440157
"60",60,98696.0833602142,165.710717887707,1138.2059218981
"61",61,98664.8509381229,167.601361303606,1167.5477005735
"62",62,98640.6697109279,170.591937931778,1188.73835114032
"63",63,98627.006938747,174.241487654616,1198.75157359838
"64",64,98605.4430887358,175.542888341067,1219.01402292313
"65",65,98580.2648000446,179.886198229444,1239.84900172595
"66",66,98561.6197089075,182.136056471221,1256.24423462128
"67",67,98537.2782692133,183.416379633152,1279.30535115354
"68",68,98518.2130790028,187.054450562666,1294.73247043453
"69",69,98497.2269909864,190.439133256093,1312.33387575751
"70",70,98479.1884681892,193.741212033898,1327.07031977691
"71",71,98446.7970147739,196.339009914223,1356.86397531188
"72",72,98423.3890390325,199.431465680444,1377.17949528706
"73",73,98424.4947769233,202.120135080293,1373.38508799641
"74",74,98407.0476961359,206.214451074822,1386.73785278928
"75",75,98384.2757610884,206.225221640667,1409.49901727093
