"","Day","S","I","R"
"1",1,99912.160064159,0.865852975996006,86.9740828649992
"2",2,99912.160064159,0.865852975996006,86.9740828649992
"3",3,99885.284208888,5.981776865668,108.734014246333
"4",4,99855.310020997,9.70883779167499,134.981141211325
"5",5,99855.310020997,9.70883779167499,134.981141211325
"6",6,99812.307548859,14.078963991765,173.613487149238
"7",7,99809.823917943,15.833075903737,174.343006153268
"8",8,99761.767348552,19.283824943317,218.948826504677
"9",9,99758.754025351,22.297148144431,218.948826504575
"10",10,99731.758465457,26.7556273060598,241.485907236946
"11",11,99731.758465457,26.7556273060598,241.485907236946
"12",12,99694.617188924,30.8959755893003,274.486835486693
"13",13,99682.731057213,33.7626531324649,283.506289654541
"14",14,99672.852025858,35.733761586282,291.414212555722
"15",15,99657.358647519,39.0388584954353,303.60249398557
"16",16,99618.523127498,41.9351977991225,339.541674702874
"17",17,99594.971997036,44.6344260721431,360.393576891855
"18",18,99573.517075282,47.6226580137529,378.860266704249
"19",19,99566.995496518,50.9749657254735,382.029537756533
"20",20,99534.197488088,52.2181611088027,413.584350803197
"21",21,99511.922852934,56.3940878916443,431.683059174352
"22",22,99492.792683229,58.1509658053921,449.056350965612
"23",23,99475.061599085,60.5566978224772,464.381703092517
"24",24,99454.113072588,64.4180832337534,481.46884417824
"25",25,99415.218035745,67.6620299016778,517.119934353324
"26",26,99397.941510361,68.0887649202263,533.96972471878
"27",27,99363.534945867,73.3343266121871,563.130727520818
"28",28,99359.885163204,75.0317927608901,565.083044035108
"29",29,99343.873941395,79.7876291304796,576.338429474525
"30",30,99316.375625019,81.0116023119327,602.612772669062
"31",31,99314.730264646,81.8838959503227,603.385839403676
"32",32,99281.647739125,85.4976164087249,632.854644466281
"33",33,99252.931943887,88.6963719452223,658.371684167777
"34",34,99225.88816304,93.5740428154486,680.537794144552
"35",35,99225.88816304,93.5740428154486,680.537794144552
"36",36,99200.146444688,96.7445588673679,703.108996444634
"37",37,99171.096204829,100.35251830616,728.551276864846
"38",38,99148.291868105,103.75327451827,747.954857376723
"39",39,99117.011399773,109.402188390061,773.586411836946
"40",40,99117.011399773,109.402188390061,773.586411836946
"41",41,99093.308096562,112.824147202395,793.867756235602
"42",42,99070.485663683,115.201061001629,814.313275315377
"43",43,99049.241210167,117.9512238405,832.807565992495
"44",44,99033.646429044,119.032520823101,847.321050132894
"45",45,98997.018998832,123.61810140439,879.362899763605
"46",46,98995.963800587,124.673299649664,879.362899763343
"47",47,98954.008229712,128.74348953224,917.248280755765
"48",48,98947.3066121535,131.887049786123,920.806338060383
"49",49,98910.2172567399,131.896777513477,957.885965746628
"50",50,98901.4412072151,138.128494037787,960.430298747111
"51",51,98880.9314649802,139.719249583458,979.349285436346
"52",52,98861.1477817005,139.820513269173,999.03170503032
"53",53,98841.761617562,143.498641218129,1014.73974121986
"54",54,98818.6784552252,150.502923466612,1030.81862130818
"55",55,98797.8814667854,150.014965427308,1052.10356778729
"56",56,98768.8557602644,155.65076401455,1075.49347572105
"57",57,98768.8557602644,155.65076401455,1075.49347572105
"58",58,98734.890693299,160.116299470908,1104.99300723009
"59",59,98700.4208202273,162.909827248739,1136.66935252396
"60",60,98687.4651523908,163.987766877616,1148.54708073159
"61",61,98648.7257325641,168.857074015691,1182.41719342021
"62",62,98648.7257325641,168.857074015691,1182.41719342021
"63",63,98624.0778728817,172.189346850475,1203.73278026783
"64",64,98595.4789684587,178.485575358126,1226.03545618317
"65",65,98570.3278141785,180.787315588514,1248.88487023299
"66",66,98570.3278141785,180.787315588514,1248.88487023299
"67",67,98525.321299471,184.699203291378,1289.97949723762
"68",68,98515.6028778746,187.685557220178,1296.71156490523
"69",69,98511.1794324312,191.551171509636,1297.26939605916
"70",70,98471.9883040843,193.59468396507,1334.41701195063
"71",71,98462.6138703484,194.448588413842,1342.93754123775
"72",72,98432.8846440999,199.088453897358,1368.02690200274
"73",73,98413.2687428368,201.83817806737,1384.89307909584
"74",74,98395.7368815029,204.011071337555,1400.25204715954
"75",75,98376.6566692827,205.316032938865,1418.02729777843
"76",76,98355.6236397859,209.339503797207,1435.03685641689
"77",77,98330.8872451817,213.961088754883,1455.15166606342
"78",78,98312.1773017647,214.610489209932,1473.21220902536
"79",79,98304.4373359056,218.363308662212,1477.19935543218
"80",80,98266.3715084946,220.150762168079,1513.47772933732
"81",81,98246.6534521464,224.90400751398,1528.44254033961
"82",82,98224.5430092771,225.018982059753,1550.43800866315
"83",83,98209.804869884,227.696895478761,1562.49823463724
"84",84,98175.8814924979,230.543859102257,1593.57464839985
"85",85,98160.3259274061,236.481540324919,1603.19253226898
"86",86,98160.3259274061,236.481540324919,1603.19253226898
"87",87,98122.2393066449,240.499783632237,1637.26090972286
"88",88,98104.271705868,243.894242666458,1651.83405146554
"89",89,98086.985964261,248.034063410531,1664.97997232847
"90",90,98053.4104852114,250.006088212454,1696.58342657615
"91",91,98032.7591690526,252.620915639888,1714.61991530751
"92",92,98024.7103717272,252.436536821163,1722.85309145164
"93",93,97986.6336640464,256.663417690945,1756.70291826266
"94",94,97977.4531841774,259.873175773101,1762.6736400495
"95",95,97944.4320228055,263.792009738038,1791.77596745646
