"","Day","S","I","R"
"1",1,99673.1849390189,80.1218181169178,246.693242864221
"2",2,99682.4540538977,78.2279972718187,239.317948830432
"3",3,99694.5448164086,77.9129882058962,227.542195385508
"4",4,99707.7963066521,78.1098325348783,214.093860813049
"5",5,99715.1496636771,76.9519678651221,207.898368457763
"6",6,99705.118181332,75.9087807571966,218.973037910845
"7",7,99716.269226976,76.4630779136422,207.267695110399
"8",8,99739.6738097807,77.1206252195368,183.205564999746
"9",9,99751.2534622662,75.8041588625658,172.942378871182
"10",10,99753.2347500995,74.1041480842066,172.661101816338
"11",11,99753.8259436618,73.6674531631934,172.506603175008
"12",12,99752.5894030894,74.0282642989498,173.38233261161
"13",13,99767.7207152137,75.6700782849787,156.609206501321
"14",14,99775.8417233236,76.0221367003477,148.136139976051
"15",15,99791.1663755551,76.1261691528163,132.707455292115
"16",16,99780.6080251845,76.7133680680099,142.678606747479
"17",17,99806.1287948028,75.6660267374343,118.205178459732
"18",18,99810.8269098246,74.9659209587301,114.207169216651
"19",19,99829.9602481161,74.9044982038224,95.1352536800967
"20",20,99819.2337873872,74.6177698506019,106.148442762205
"21",21,99824.4978604158,74.0725628647257,101.429576719467
"22",22,99828.3391980678,73.6936825656904,97.9671193665458
"23",23,99828.8652681832,75.7043347523417,95.4303970644098
"24",24,99836.3524365824,74.3786446431171,89.2689187744586
"25",25,99827.6628414361,73.8987464911249,98.4384120727609
"26",26,99812.3609711602,73.3366522588105,114.302376580936
"27",27,99813.8137225292,73.0154766147798,113.17080085606
"28",28,99816.4665983586,72.2260778067207,111.307323834706
"29",29,99841.0827088894,73.0519763961053,85.86531471453
"30",30,99843.3230799025,72.6887383530216,83.9881817444854
"31",31,99832.8543752403,73.7956923212729,93.34993243841
"32",32,99836.4790068462,74.3884583029334,89.13253485083
"33",33,99841.6992985641,76.3558553357872,81.944846100083
"34",34,99857.4045218944,76.0228036609887,66.5726744445853
"35",35,99871.5570137187,75.6881726143936,52.7548136668537
"36",36,99879.1094610368,74.4131351961417,46.477403767075
"37",37,99888.3413354457,72.3747534885151,39.2839110657649
"38",38,99878.172687372,72.6589929681639,49.1683196598612
"39",39,99871.3306090805,73.3450873660965,55.3243035533588
"40",40,99874.8526112225,73.1500096057375,51.9973791717481
"41",41,99869.0233844666,74.4169469419888,56.5596685913751
"42",42,99889.9763823061,75.268320713929,34.7552969799756
"43",43,99875.6215737404,74.149626150624,50.2288001089887
"44",44,99875.1442900853,73.8657906492464,50.9899192654864
"45",45,99870.0371257098,76.5150201037662,53.4478541864529
"46",46,99869.7436537853,78.6501415336097,51.6062046811072
"47",47,99872.4018570744,78.1555704013199,49.4425725242823
"48",48,99875.5063254454,79.7822759211505,44.7113986334037
"49",49,99888.1992247073,80.1662110937072,31.6345641989615
"50",50,99891.9533922233,82.0640420629421,25.9825657137377
"51",51,99895.6170353909,81.2129479502892,23.1700166588473
"52",52,99914.8559056139,81.9902302237813,3.15386416229936
"53",53,99919.6234939016,81.4320785331059,-1.05557243468216
"54",54,99904.4089160647,80.7598709404405,14.8312129948693
"55",55,99897.4335664954,84.1505975052928,18.4158359993372
"56",56,99889.408029044,83.6869950717405,26.9049758842693
"57",57,99887.5819580908,83.3927845182032,29.0252573909626
"58",58,99886.6033495933,83.4556012267608,29.9410491799775
"59",59,99899.5069804338,83.903911689138,16.5891078770763
"60",60,99892.9614692855,83.9415040054906,23.0970267090047
"61",61,99894.1145583573,84.1592150376266,21.7262266050864
"62",62,99890.3533403323,83.3460031201358,26.300656547535
"63",63,99893.6214141817,84.6081407771433,21.7704450411616
"64",64,99876.0410543167,88.2672778354652,35.6916678478845
"65",65,99869.7591776999,89.3413250989599,40.8994972011249
"66",66,99888.6754023138,90.4074297612055,20.9171679249792
"67",67,99880.8368473456,92.7463359032859,26.4168167511139
"68",68,99869.991794977,93.5859137239562,36.4222912990343
"69",69,99858.8129210498,92.6208340132765,48.5662449369519
"70",70,99864.0074686969,92.5240543551282,43.4684769479485
"71",71,99841.9068132843,92.0136333340332,66.0795533816272
"72",72,99848.3865292846,94.447877844086,57.1655928712744
"73",73,99846.1971460699,93.2867363529856,60.516117577089
"74",74,99822.5310793872,93.8357806750319,83.6331399378116
"75",75,99821.4760235939,95.3545887603626,83.1693876457638
"76",76,99839.6189068222,96.3422040049088,64.0388891729114
"77",77,99845.5298434889,96.948668376973,57.5214881341624
"78",78,99847.4355284746,99.2485470681488,53.3159244572562
"79",79,99843.8182179755,100.433072232937,55.7487097916058
"80",80,99841.9424853117,101.089060278078,56.9684544102672
"81",81,99836.1066426215,102.503724528453,61.3896328500262
"82",82,99824.8176363699,104.986508887851,70.1958547422289
"83",83,99812.5316628058,106.216022262863,81.2523149313419
"84",84,99806.8372252904,106.153536068387,87.0092386411943
"85",85,99799.6339211251,106.42236026127,93.9437186136173
"86",86,99799.4178244905,106.900016642818,93.6821588666266
"87",87,99808.2502627585,107.687978648395,84.0617585930617
"88",88,99793.596732062,108.262454094181,98.1408138438486
"89",89,99777.6821837801,109.324945452836,112.992870767082
"90",90,99778.3374146865,110.198479096806,111.464106216687
"91",91,99760.7830911444,110.97598112931,128.240927726252
"92",92,99763.1587173395,112.49823516745,124.343047493007
"93",93,99737.6112081676,115.210920961229,147.177870871153
"94",94,99746.4528242033,115.628073457671,137.919102339058
"95",95,99734.3235461443,116.790470775819,148.885983079835
"96",96,99730.5400939022,118.511706615681,150.948199482079
"97",97,99719.2204238898,120.112802630967,160.666773479279
"98",98,99721.5283862673,120.25664715863,158.214966574026
"99",99,99706.107583532,121.299409737594,172.593006730413
"100",100,99715.3735165612,124.320687919412,160.305795519373
"101",101,99707.7884161289,127.148006429139,165.063577442003
"102",102,99706.1825479178,128.87038066964,164.947071412596
"103",103,99697.6023308013,128.481474247578,173.916194951118
"104",104,99691.4748442145,130.506004327461,178.019151458074
"105",105,99670.5729472923,130.456027502814,198.971025204914
"106",106,99663.3409655751,131.969652730918,204.689381693952
"107",107,99654.0093703828,135.072724595797,210.917905021354
"108",108,99647.5994862182,136.772934962865,215.627578818979
"109",109,99641.2125803221,137.884737390355,220.902682287577
"110",110,99648.7939091299,138.003437265998,213.202653604083
"111",111,99621.2846609353,139.90266194559,238.812677119112
"112",112,99615.4383836748,141.292414715852,243.269201609373
"113",113,99608.2099168041,142.940541785528,248.849541410419
"114",114,99581.2145987927,143.468512481938,275.316888725402
"115",115,99576.7933297481,143.551593073664,279.655077178264
"116",116,99563.3914220529,144.348196796643,292.260381150486
"117",117,99562.8677616199,146.808755121137,290.323483258966
"118",118,99559.9490874804,149.988632935014,290.062279584574
"119",119,99541.4524506107,151.035490498078,307.512058891255
"120",120,99532.5852577319,154.700987708604,312.713754559526
"121",121,99517.3062573631,158.558805146188,324.134937490728
"122",122,99519.8365426967,159.221542242375,320.941915060964
"123",123,99486.621315598,160.862948963925,352.515735438033
"124",124,99481.2109105129,161.263966182604,357.525123304443
"125",125,99471.7936676345,161.524147947018,366.682184418529
"126",126,99460.8045549126,164.724412395914,374.471032691464
"127",127,99445.090594845,166.105679929637,388.803725225352
"128",128,99439.1450101821,166.717003860492,394.13798595737
"129",129,99428.2909124255,168.346256058217,403.362831516242
"130",130,99405.6926239848,172.736139598582,421.57123641665
"131",131,99390.4888900187,173.202361455315,436.308748525991
"132",132,99375.1569141845,174.621685978275,450.221399837251
"133",133,99377.8383133537,178.201838174163,443.959848472158
"134",134,99370.4849331114,180.23795864222,449.277108246399
"135",135,99372.0396838478,180.736006962598,447.224309189596
"136",136,99354.3848631146,183.112226088259,462.502910797121
"137",137,99333.986782645,185.783178126584,480.230039228407
"138",138,99299.3321671407,188.413568010249,512.254264849012
