"","Day","S","I","R"
"1",1,99667.7724511434,80.0248737561973,252.202675100384
"2",2,99683.1914570832,77.8302943424549,238.978248574319
"3",3,99671.9577573498,78.2870746661654,249.755167984021
"4",4,99690.9543111293,78.2422692322962,230.8034196384
"5",5,99707.3340531759,77.5200131944615,215.145933629587
"6",6,99702.8167662416,76.7203999208429,220.462833837552
"7",7,99727.0357209611,77.0297842149262,195.934494824001
"8",8,99735.4921073673,77.2220591625829,187.285833470108
"9",9,99739.8250928647,75.9359062732595,184.239000862077
"10",10,99741.7268309474,76.367733675232,181.905435377358
"11",11,99742.7929130282,75.4445413303013,181.762545641494
"12",12,99750.547089283,74.230558037427,175.222352679543
"13",13,99748.6462829931,73.8082649834856,177.545452023455
"14",14,99767.8845471843,76.2894369764741,155.826015839197
"15",15,99764.6873278554,74.5872789502977,160.725393194316
"16",16,99779.3882656801,72.7844057437601,147.827328576128
"17",17,99777.6024641743,75.6889013632345,146.708634462417
"18",18,99795.8855282282,73.5718202797148,130.542651492085
"19",19,99799.5646733542,75.1239542023648,125.311372443443
"20",20,99813.1622205639,73.0670094500144,113.770769986099
"21",21,99827.7540784912,72.9036187159871,99.3423027927853
"22",22,99797.8239982053,73.0652930775284,129.110708717166
"23",23,99802.612223652,72.3564292754728,125.031347072481
"24",24,99844.4554814111,71.7703021594806,83.7742164293846
"25",25,99813.4957377207,74.6886601833396,111.815602095998
"26",26,99834.0949616712,73.5464920280984,92.3585463007349
"27",27,99827.282631935,74.4087593183314,98.3086087466274
"28",28,99839.1264072391,72.6521208463738,88.221471914477
"29",29,99826.8399971142,72.5610489725406,100.598953913229
"30",30,99851.9105595224,72.5844444711688,75.504996006435
"31",31,99840.7902720803,71.9849508780726,87.2247770416283
"32",32,99834.6051129658,73.1101109418755,92.2847760923332
"33",33,99860.24104612,72.9363446627092,66.822609217277
"34",34,99855.6627624055,72.1039140703362,72.2333235241181
"35",35,99860.38116566,73.291893853572,66.3269404864488
"36",36,99852.0635892627,72.483779361296,75.4526313760356
"37",37,99863.2327364233,73.5973041482623,63.1699594284758
"38",38,99864.0029319151,72.3042875635065,63.6927805213913
"39",39,99863.7014935032,74.3897672228957,61.9087392738926
"40",40,99881.3971349865,75.5863760035505,43.0164890099299
"41",41,99876.4776596065,74.8344273224607,48.687913071041
"42",42,99870.438065787,75.9864510487182,53.5754831642833
"43",43,99881.5569898648,76.2011427364724,42.2418673986816
"44",44,99873.8749499077,77.4031955647058,48.7218545275862
"45",45,99893.8145800596,75.9897901113902,30.1956298289802
"46",46,99883.2965019104,76.3661542923504,40.3373437971989
"47",47,99877.8401900938,78.5576679241293,43.6021419821089
"48",48,99878.0427772353,77.8978077920107,44.0594149726922
"49",49,99891.6703336146,77.7888656893734,30.5408006960586
"50",50,99894.5950875967,78.2809086766338,27.1240037266714
"51",51,99884.2588340048,78.2902127005587,37.450953294627
"52",52,99895.1936239917,79.3458840873834,25.4604919209422
"53",53,99880.1907877332,79.8185707642827,39.9906415025119
"54",54,99898.9710831625,80.1070791260026,20.9218377115081
"55",55,99884.5785939898,81.410929465696,34.0104765444607
"56",56,99891.0376479422,80.7105055675261,28.2518464902814
"57",57,99877.9976389478,80.3746520550626,41.6277089971209
"58",58,99883.4397126548,83.1221240733222,33.438163271829
"59",59,99887.2549251789,80.6076705286854,32.1374042923785
"60",60,99869.3445093975,82.4056067998123,48.2498838027092
"61",61,99857.3087670455,84.6894275702965,58.0018053842002
"62",62,99885.9989175944,86.0717213106298,27.9293610949607
"63",63,99875.9294360547,85.0257842568365,39.0447796884262
"64",64,99892.4842225251,84.3637306323721,23.1520468425568
"65",65,99868.5127087307,86.1487192375444,45.3385720317238
"66",66,99891.3037015275,87.0799551389095,21.6163433335804
"67",67,99855.8763697051,87.5333628780736,56.5902674167739
"68",68,99864.8435958048,87.8916183426013,47.2647858526268
"69",69,99850.1722069894,89.8188753589905,60.0089176515648
"70",70,99876.5955528879,91.2123599625178,32.1920871495552
"71",71,99853.8716298576,91.5447371810688,54.5836329612885
