"","Day","S","I","R"
"1",1,99983.4463184493,57.9925991024682,-41.4389175517439
"2",2,99977.822160255,57.7377177026574,-35.5598779576844
"3",3,100002.604421998,58.0114936325599,-60.6159156301921
"4",4,99975.2111458202,59.0157253581378,-34.2268711783651
"5",5,99962.2462827655,59.8069173507192,-22.0532001162018
"6",6,99966.48069328,60.3928230757242,-26.8735163556886
"7",7,99949.5197731689,61.1524015991761,-10.6721747680368
"8",8,99940.4980267347,62.496933455689,-2.99496019042557
"9",9,99939.9699743408,60.947110261993,-0.917084602810783
"10",10,99939.8919156944,61.7539751116175,-1.64589080606987
"11",11,99939.6180224683,62.0366634473315,-1.6546859156841
"12",12,99949.4346815509,62.7334105194201,-12.1680920703031
"13",13,99920.6942449202,63.9364339408221,15.3693211389287
"14",14,99918.6002155923,63.038233427194,18.361550980551
"15",15,99932.0143290711,62.340568863378,5.64510206549993
"16",16,99923.253594874,60.7425108743421,16.0038942516269
"17",17,99926.2637347916,61.7707011689561,11.9655640394351
"18",18,99914.4690858749,61.5622588325285,23.968655292626
"19",19,99891.307093931,63.3526109788876,45.3402950901194
"20",20,99899.4765978014,64.3276868468214,36.1957153517291
"21",21,99909.3593626718,64.2102304473599,26.4304068808632
"22",22,99908.4526846541,63.4730149579193,28.0743003880208
"23",23,99903.6282718449,64.5764693545914,31.7952588005458
"24",24,99898.7688609569,65.6089881062867,35.6221509367981
"25",25,99903.5075978966,66.6516729830508,29.8407291202938
"26",26,99894.6864380543,67.506938392973,37.8066235527401
"27",27,99874.8264144442,67.7765320302584,57.3970535255072
"28",28,99876.6463392112,66.8373468505608,56.5163139382136
"29",29,99860.163895876,68.5560552548765,71.2800488691702
"30",30,99856.5252695351,71.0700834670615,72.4046469978185
"31",31,99849.1563948369,71.0127576783849,79.8308474846814
"32",32,99824.6405063767,70.0300447394018,105.329448883937
"33",33,99815.9293481216,71.0058046859933,113.064847192449
"34",34,99815.8615829932,72.0896646330105,112.048752373794
"35",35,99822.7637232336,71.9224518441727,105.313824922187
"36",36,99826.0414214074,72.2487517581379,101.709826834439
"37",37,99812.6946314257,72.6346635054737,114.670705068869
"38",38,99821.702132591,73.9165155067745,104.381351902225
"39",39,99812.340966657,74.7394711972541,112.91956214577
"40",40,99800.0856574563,74.9957049400815,124.91863760362
"41",41,99801.5195310314,75.2910066778646,123.189462290698
"42",42,99794.4624375065,76.7319760953333,128.805586398191
"43",43,99807.5158307898,79.0786965122413,113.405472698005
"44",44,99777.0737365755,76.0553480118623,146.870915412632
"45",45,99763.0882891852,77.1902859463778,159.721424868417
"46",46,99749.1152447835,77.0904106452886,173.794344571237
"47",47,99750.2449001959,78.1420520478439,171.61304775629
"48",48,99749.833066793,78.4602560922619,171.706677114727
"49",49,99743.0223808782,78.9467425870333,178.030876534787
"50",50,99750.2440889801,79.8314590243659,169.924451995562
"51",51,99752.873604102,82.5276286220916,164.598767275871
"52",52,99746.4130562945,83.1393438733127,170.447599832185
"53",53,99744.103542356,83.4349717122371,172.461485931727
"54",54,99735.8356535991,84.585954979984,179.578391420925
"55",55,99729.0129179968,86.4084249622862,184.578657040947
"56",56,99733.9249266397,85.7864018367101,180.28867152361
"57",57,99706.3263324118,87.6081371369734,206.065530451255
"58",58,99716.2425294732,88.8998126631721,194.857657863624
"59",59,99731.363935093,90.7590145986664,177.877050308322
"60",60,99720.4997097959,91.6563785085051,187.843911695595
"61",61,99721.2487051367,91.0174284206112,187.733866442682
"62",62,99704.8406300698,92.6112172363848,202.548152693863
"63",63,99683.2166717943,93.2610100892336,223.522318116427
"64",64,99661.4003913109,93.1041896939085,245.495418995187
"65",65,99668.8513445043,92.5823233411191,238.566332154615
"66",66,99673.9652851968,94.0193104883989,232.015404314794
"67",67,99656.6918625653,95.9871598189708,247.320977615766
"68",68,99649.5672150903,98.9627999404247,251.469984969292
"69",69,99643.4459443579,100.230875248471,256.323180393605
"70",70,99658.430626578,100.646801318526,240.922572103473
"71",71,99644.5766680461,102.319138605278,253.104193348634
"72",72,99639.985206404,102.779062886521,257.235730709475
"73",73,99635.4557991328,103.002286366864,261.541914500341
"74",74,99640.4226052416,103.490705875536,256.08668888289
"75",75,99622.4500975147,106.23900603653,271.310896448795
"76",76,99608.5263967734,107.335127897445,284.138475329189
"77",77,99587.8913688808,110.02815942743,302.080471691736
"78",78,99577.7166937722,108.985511116675,313.297795111083
"79",79,99563.8613975178,111.624757903487,324.513844578687
"80",80,99547.5994666805,112.29173982452,340.108793494935
"81",81,99532.8389689977,113.198495689291,353.962535312974
"82",82,99534.9581582598,113.187260181557,351.85458155859
"83",83,99552.0409158936,114.086470615826,333.872613490574
