"","Day","S","I","R"
"1",1,99986.3522185011,57.9930919686282,-44.3453104697234
"2",2,99986.3522185011,57.9930919686282,-44.3453104697234
"3",3,99986.3522185011,57.9930919686282,-44.3453104697234
"4",4,99980.9965261409,58.9537110902594,-39.9502372311391
"5",5,99974.7742184539,60.4113401169787,-35.1855585708735
"6",6,99974.4030628807,59.5235559554059,-33.9266188361
"7",7,99969.8755547302,58.0970150378125,-27.9725697680551
"8",8,99964.0273239269,57.493708386618,-21.5210323135334
"9",9,99956.8036806297,58.9447162643246,-15.7483968940705
"10",10,99951.0728043336,60.0616957449985,-11.1345000786261
"11",11,99951.0728043336,60.0616957449985,-11.1345000786261
"12",12,99930.0449394495,61.9292688229989,8.02579172752215
"13",13,99929.2310830377,62.3425354210332,8.42638154130039
"14",14,99929.2310830377,62.3425354210332,8.42638154130039
"15",15,99929.2310830377,62.3425354210332,8.42638154130039
"16",16,99920.3694089116,62.2858164727376,17.344774615659
"17",17,99917.0506667094,60.6962102247756,22.2531230658375
"18",18,99900.1241268544,61.8964503804708,37.9794227651184
"19",19,99900.1241268544,61.8964503804708,37.9794227651184
"20",20,99900.1241268544,61.8964503804708,37.9794227651184
"21",21,99892.5104694675,65.5610487405982,41.9284817919498
"22",22,99890.1939298378,65.3748827868052,44.4311873754401
"23",23,99890.1939298378,65.3748827868052,44.4311873754401
"24",24,99890.1939298378,65.3748827868052,44.4311873754401
"25",25,99890.1939298378,65.3748827868052,44.4311873754401
"26",26,99890.1939298378,65.3748827868052,44.4311873754401
"27",27,99884.1493129531,66.2752730727754,49.5754139741237
"28",28,99858.6808139318,69.2957722496061,72.023413818592
"29",29,99849.7295402623,69.3168061231362,80.9536536145652
"30",30,99848.2744375041,69.6046439994517,82.1209184964117
"31",31,99848.2744375041,69.6046439994517,82.1209184964117
"32",32,99848.2744375041,69.6046439994517,82.1209184964117
"33",33,99845.1242501491,70.3104721582105,84.5652776926679
"34",34,99845.1242501491,70.3104721582105,84.5652776926679
"35",35,99835.7784536622,71.2682303364117,92.9533160013389
"36",36,99829.1630470754,72.9063635436926,97.9305893809194
"37",37,99823.0178623842,73.4817491210348,103.500388494801
"38",38,99819.4360390183,73.3223721216435,107.241588860101
"39",39,99796.8424215388,73.7438346114295,129.413743849777
"40",40,99795.4268690391,74.2270790698567,130.34605189104
"41",41,99790.837451605,74.7047454688161,134.457802926145
"42",42,99789.5361798804,75.9743049331933,134.489515186399
"43",43,99789.5361798804,75.9743049331933,134.489515186399
"44",44,99782.0923782057,77.4106760533174,140.496945740946
"45",45,99782.0923782057,77.4106760533174,140.496945740946
