"","Day","S","I","R"
"1",1,100011.707885779,58.2506237170626,-69.9585094957824
"2",2,99994.522314768,58.0538910033792,-52.5762057713538
"3",3,99985.3736381355,59.424973819055,-44.7986119545738
"4",4,99961.1750614664,60.325161871025,-21.5002233374769
"5",5,99964.8160416299,59.1660552532873,-23.9820968832259
"6",6,99959.6972612504,57.9857580932125,-17.6830193435975
"7",7,99961.4887184138,59.9509611364952,-21.4396795502897
"8",8,99941.4236963953,59.4519175890143,-0.875613984348884
"9",9,99949.1702135105,60.9020602850878,-10.0722737956306
"10",10,99932.913586473,60.1117028561205,6.97471067089257
"11",11,99939.6868819741,59.899380680567,0.413737345365615
"12",12,99933.5128820565,61.210702234363,5.27641570917776
"13",13,99939.0350401119,60.4880810394662,0.476878848643405
"14",14,99927.0202613073,62.696206619226,10.283532073518
"15",15,99912.6351427238,64.2596422162551,23.1052150599527
"16",16,99926.8425357145,63.1444016766765,10.0130626087943
"17",17,99905.1068113021,63.1296654209722,31.7635232769374
"18",18,99913.6760188561,64.6252150818472,21.6987660620097
"19",19,99907.4110417003,65.5058657220806,27.0830925775757
"20",20,99918.5784177905,65.8420253720566,15.5795568374143
"21",21,99887.299141038,64.6871366008381,48.0137223611853
"22",22,99895.3973056865,66.1061744910692,38.4965198224653
"23",23,99893.8883557497,65.8743086136541,40.2373356366027
"24",24,99885.7238027572,65.5351098825888,48.7410873602149
"25",25,99875.0348996024,66.5250107051767,58.4400896924294
"26",26,99874.9307235074,65.781490329191,59.2877861634616
"27",27,99862.8487223394,66.6781063702091,70.473171290423
"28",28,99855.3374274209,68.7715020765853,75.8910705024635
"29",29,99853.1046169596,67.683055564628,79.2123274757326
"30",30,99864.2736591293,69.4462884404113,66.2800524303305
"31",31,99843.3115654618,68.0764836715723,88.6119508666244
"32",32,99845.5649432688,69.5348358085244,84.9002209227083
"33",33,99824.7378954621,72.5377054141004,102.724399123818
"34",34,99821.5017490023,70.6419305509917,107.856320446757
"35",35,99810.9123961841,71.8897307530205,117.197873062854
"36",36,99810.6731060899,71.7225028817587,117.604391028289
"37",37,99825.2184642186,74.1100640216257,100.671471759756
"38",38,99821.0690448559,73.8897618406754,105.041193303439
"39",39,99802.8443153291,74.7146447397066,122.441039931174
"40",40,99823.2265526589,74.8886482050602,101.884799136007
"41",41,99801.7417682164,75.6087207367855,122.649511046856
"42",42,99785.5725661604,75.4615014801057,138.965932359481
"43",43,99791.2316248356,76.9739171211637,131.794458043272
"44",44,99796.2824922044,77.4698402165218,126.247667579058
"45",45,99776.8176426883,77.6410853041994,145.5412720075
"46",46,99781.5867516518,78.0703946354811,140.342853712694
"47",47,99763.6315190593,79.3607501910175,157.007730749663
"48",48,99758.4608337658,80.0574511553223,161.481715078846
"49",49,99753.4757829673,79.3415132252096,167.182703807487
"50",50,99751.5955497363,80.2111644766603,168.193285787024
"51",51,99734.3607140954,81.3206806334505,184.318605271169
"52",52,99742.7628040885,82.6769200723737,174.560275839157
"53",53,99723.1239058902,84.5618121087037,192.314282001093
"54",54,99733.1253521824,85.1241189750067,181.750528842567
"55",55,99730.4451208884,86.0431881540518,183.51169095758
"56",56,99722.9904650248,85.587569651046,191.421965324179
"57",57,99717.8994890791,86.1426360339248,195.957874886956
"58",58,99721.6664469,87.6892915336463,190.644261566376
"59",59,99703.4502839102,90.5693534377316,205.980362652085
"60",60,99692.7510670149,90.6948168773249,216.55411610772
"61",61,99691.3985079973,92.451763521775,216.149728480932
"62",62,99697.4098737543,91.2411634690045,211.34896277671
"63",63,99680.7753481918,91.7711134719447,227.45353833625
"64",64,99704.442846163,94.6538323392659,200.903321497756
"65",65,99679.4368423715,95.0658720325291,225.497285596009
"66",66,99669.8408522271,95.2315260305795,234.927621742286
"67",67,99653.3965212448,98.1648606100205,248.438618145162
"68",68,99654.3117942058,97.3913331513004,248.296872642875
"69",69,99651.2223651917,97.8515112705281,250.926123537727
"70",70,99628.4443259845,101.287403373591,270.268270641947
"71",71,99642.5131156011,102.039965051798,255.446919347058
"72",72,99624.5219438018,101.284237961635,274.193818236527
"73",73,99620.1283679531,102.281176278172,277.590455768674
"74",74,99619.3432314462,104.97894218776,275.677826366066
"75",75,99632.6365420911,105.065976191897,262.29748171696
"76",76,99593.7289659358,106.8775975999,299.393436464338
"77",77,99602.129675091,106.914733352368,290.955591556593
"78",78,99568.2938443814,108.64471225623,323.061443362354
"79",79,99580.4942862498,108.785507640251,310.720206109947
"80",80,99582.189265576,111.092090246551,306.718644177405
"81",81,99584.9673099442,112.584927949293,302.447762106539
"82",82,99571.0121702112,113.663963604117,315.323866184647
"83",83,99561.9053457664,114.311668310516,323.782985923062
"84",84,99551.4611001641,114.358357121421,334.180542714491
"85",85,99553.1892608822,116.352657354894,330.458081762871
"86",86,99535.343962903,120.926269625774,343.729767471198
"87",87,99520.887265437,117.87404906002,361.238685502931
"88",88,99535.5199910695,122.166949886031,342.313059044504
"89",89,99510.4134946618,120.632235753485,368.954269584746
"90",90,99537.1160698113,122.772598268179,340.111331920543
"91",91,99511.3825185904,124.016250849773,364.601230559842
"92",92,99476.8107342852,125.620399975038,397.568865739716
"93",93,99485.2041029599,125.003951546508,389.79194549359
"94",94,99494.9241486668,128.85579908901,376.220052244177
"95",95,99459.5693619107,131.134353186744,409.296284902507
"96",96,99451.2248029874,131.749897737505,417.025299275103
"97",97,99443.0756493744,132.732776683548,424.191573942015
"98",98,99454.6115007868,135.628662612303,409.759836600879
"99",99,99417.9784083697,135.112630079691,446.908961550608
"100",100,99427.8455530311,137.3400093091,434.814437659792
"101",101,99402.8442688566,139.954036076827,457.201695066555
"102",102,99404.0055340712,140.78392595903,455.210539969725
"103",103,99389.4870458644,141.566698619184,468.946255516454
"104",104,99396.9591105457,144.246850664045,458.794038790286
"105",105,99391.8018667964,144.139017944048,464.059115259532
"106",106,99389.0629079872,147.500431083055,463.436660929714
"107",107,99360.1619210914,147.780146619305,492.057932289256
"108",108,99369.7451850315,149.50768460696,480.747130361552
"109",109,99349.1700044223,151.64222745861,499.187768119061
"110",110,99345.4598502476,151.341539282625,503.198610469817
"111",111,99339.5836737815,155.187604567733,505.22872165079
"112",112,99325.2662282634,154.769895702981,519.963876033628
"113",113,99318.2063564586,157.532401466581,524.261242074787
"114",114,99300.807121276,159.092521918394,540.100356805611
"115",115,99295.6881082004,161.181865042205,543.13002675738
"116",116,99297.3415574035,160.966006775918,541.692435820595
"117",117,99282.524596652,165.60417746271,551.871225885325
"118",118,99276.3696671539,166.379520140944,557.250812705187
"119",119,99242.2205444257,167.656414173694,590.123041400568
"120",120,99253.6269145883,170.279140302145,576.093945109522
"121",121,99239.9277773503,169.035297673352,591.036924976306
"122",122,99211.5564647973,172.44380220122,615.999733001508
"123",123,99231.3840635273,174.240746029631,594.375190443098
"124",124,99228.2188075053,177.655247502892,594.125944991778
"125",125,99204.0642070009,178.215406281425,617.720386717681
"126",126,99200.0169080541,178.593776413858,621.389315532045
"127",127,99173.6494951223,181.315795225768,645.034709651955
"128",128,99153.4278433365,183.495753547204,663.07640311632
"129",129,99167.7000553705,185.158561109352,647.141383520163
"130",130,99146.9865548464,188.315433206416,664.698011947154
"131",131,99133.3491960305,188.797160826614,677.853643142844
"132",132,99136.828628528,191.885574899106,671.285796572853
"133",133,99103.8698330871,193.018194517057,703.111972395867
"134",134,99116.3638923898,195.398294447452,688.237813162801
"135",135,99098.3752050428,197.403269264641,704.221525692533
"136",136,99078.4384364435,201.001444249061,720.560119307428
"137",137,99062.9245348412,201.909514815824,735.165950342959
"138",138,99069.2023915375,203.554916442638,727.242692019846
"139",139,99037.4499683673,208.844504249211,753.705527383469
"140",140,99037.1901866293,208.106801260159,754.703012110519
"141",141,99018.7067402144,209.006992969026,772.286266816553
"142",142,98981.0790516703,214.658836245616,804.262112084056
"143",143,98997.0179441338,217.210240767733,785.77181509849
"144",144,98983.1004890134,217.228397078002,799.671113908557
"145",145,98961.6307697765,219.402348050725,818.966882172738
"146",146,98962.86072095,219.794612067232,817.344666982757
"147",147,98937.8779729095,221.830139952175,840.291887138352
"148",148,98927.8340381682,227.622776022297,844.543185809515
"149",149,98924.673632581,228.390124780047,846.936242638926
"150",150,98906.3899685247,228.778061226882,864.831970248445
"151",151,98872.4526654656,231.937486140992,895.609848393383
"152",152,98869.5867031924,235.613030178629,894.800266628995
"153",153,98868.18313202,241.490706723697,890.326161256269
"154",154,98849.5561704517,239.534381401192,910.909448147057
"155",155,98834.6480767592,241.829129057155,923.522794183693
"156",156,98825.1468749193,244.065752834143,930.787372246594
"157",157,98802.6183132654,246.25453728599,951.127149448627
"158",158,98789.3018653459,249.076862975104,961.621271679032
"159",159,98761.1424112986,252.039500266449,986.818088434932
"160",160,98767.8577133524,254.576895039348,977.56539160823
"161",161,98742.6925792487,258.538590072628,998.76883067869
"162",162,98718.5087165671,259.516254838087,1021.97502859481
"163",163,98706.0434588285,261.693789554807,1032.26275161671
"164",164,98688.9740849217,264.779498376773,1046.24641670151
"165",165,98694.7572974536,266.496611235354,1038.74609131099
"166",166,98678.2812684367,268.868997054844,1052.84973450844
"167",167,98637.877750279,273.38986036862,1088.73238935237
"168",168,98629.1537952027,275.700928846518,1095.1452759508
"169",169,98624.6487069241,277.277975625012,1098.07331745085
"170",170,98603.534858959,281.01582250265,1115.44931853832
"171",171,98575.0933418522,282.958157869652,1141.94850027818
"172",172,98563.8009852684,286.688375158684,1149.51063957292
"173",173,98550.5833162979,289.115816927632,1160.30086677444
"174",174,98537.5620541007,292.660486351742,1169.77745954759
"175",175,98519.5231462985,293.961519951231,1186.51533375022
"176",176,98502.4676365292,297.535551231368,1199.99681223945
"177",177,98489.4899667874,299.418027558698,1211.0920056539
"178",178,98462.3360427212,302.43596509716,1235.22799218165
"179",179,98472.5392819833,303.670862057723,1223.78985595897
"180",180,98433.4355297126,309.366052669182,1257.19841761817
"181",181,98412.0924878203,312.499359799858,1275.40815237986
"182",182,98387.4372502486,313.317160722653,1299.24558902878
"183",183,98374.4324297498,316.316107647995,1309.25146260216
"184",184,98350.3528545654,319.276159129312,1330.37098630525
"185",185,98351.7441227653,323.272450303969,1324.9834269307
"186",186,98330.0853040857,326.668276179461,1343.24641973487
"187",187,98308.3765613743,330.028046529694,1361.59539209601
"188",188,98277.3732633655,331.461119033322,1391.16561760116
"189",189,98267.8458905364,333.922617323128,1398.23149214048
"190",190,98251.2994130611,339.399111299643,1409.30147563924
"191",191,98235.079193254,340.378274086466,1424.54253265951
"192",192,98202.7592339236,344.490511446024,1452.75025463042
"193",193,98196.7992238322,349.307837222302,1453.89293894552
"194",194,98165.076101903,352.197312323272,1482.7265857737
"195",195,98132.3343215206,354.559546995317,1513.10613148406
"196",196,98115.2598971794,357.120706011731,1527.61939680884
