"","Day","S","I","R"
"1",1,99986.3924664557,45.3196548684368,-31.7121213241307
"2",2,99976.2672009688,46.2732280859383,-22.540429054709
"3",3,99977.0371067646,47.5852915184235,-24.6223982830377
"4",4,99960.4679853541,49.0631534382148,-9.53113879235426
"5",5,99961.3713171164,49.0293267459761,-10.4006438624064
"6",6,99952.5179484163,51.0013051003121,-3.51925351658721
"7",7,99951.1809127775,51.6599206587089,-2.84083343618209
"8",8,99974.8515962084,50.8463320739348,-25.6979282823073
"9",9,99968.572709039,51.9689906097135,-20.5416996487356
"10",10,99965.8678436908,53.4815894098618,-19.3494331006685
"11",11,99959.3430413509,55.9880300304135,-15.331071381364
"12",12,99954.2276772123,57.7595943340349,-11.9872715463361
"13",13,99946.7002730801,57.5563984780402,-4.25667155810173
"14",14,99952.4901642428,59.1956976288294,-11.6858618716235
"15",15,99943.5977523002,61.8154077105203,-5.41316001074687
"16",16,99955.4288564887,62.6082944512583,-18.0371509399642
"17",17,99935.4767775322,63.035342408725,1.48788005911083
"18",18,99913.510062802,61.3116872411311,25.1782499568732
"19",19,99900.1562306433,61.451306598403,38.3924627583176
"20",20,99909.292818954,63.1439335960742,27.5632474499735
"21",21,99895.7576631179,64.2581224585102,39.9842144235859
"22",22,99899.1324164815,64.5479082376902,36.3196752808018
"23",23,99901.9445868264,65.1676714877466,32.887741685901
"24",24,99887.4231148314,66.4868673768567,46.0900177917635
"25",25,99869.6685467185,66.9309003511744,63.400552930353
"26",26,99855.9282894972,66.0452894411039,78.0264210617214
"27",27,99858.8396563063,67.555354224701,73.6049894689774
"28",28,99877.251771407,67.5850025078699,55.1632260851734
"29",29,99878.9520739059,68.369022907613,52.6789031864901
"30",30,99870.8891324212,70.9379761102487,58.1728914685357
"31",31,99864.8085362537,71.5274570417666,63.6640067045826
"32",32,99852.7940621896,72.6437116909948,74.5622261194425
"33",33,99844.580973512,72.6596038855684,82.7594226024794
"34",34,99866.482311609,74.2115886466073,59.3060997443947
"35",35,99849.6963393022,73.9565592701392,76.3471014276475
"36",36,99865.0434278803,75.7817017708221,59.1748703488974
"37",37,99838.7396974377,75.1932664782519,86.0670360840088
"38",38,99825.9978224458,74.9959611241337,99.0062164301116
"39",39,99834.0069474263,73.8985784542074,92.0944741194828
"40",40,99838.2836456875,75.5026157671585,86.2137385453194
"41",41,99819.1757167393,77.6656562034513,103.158627057281
"42",42,99826.1816944135,79.6092278850168,94.2090777014672
"43",43,99819.8246352569,79.5846109897837,100.590753753324
"44",44,99824.7295023829,78.9607978083515,96.3096998087433
"45",45,99817.6294000301,81.58500857533,100.785591394548
"46",46,99826.0660106171,80.8784038810508,93.055585501853
"47",47,99808.2135395233,81.0976972769402,110.688763199707
"48",48,99804.05484415,82.3753554519519,113.569800398044
"49",49,99789.7650182029,85.7165704001045,124.518411396985
"50",50,99773.9624389183,85.9228565366748,140.114704544992
"51",51,99774.448662649,87.9302737784484,137.621063572563
"52",52,99767.9774889229,89.2695218095439,142.752989267543
"53",53,99733.3630324349,88.2489421906356,178.38802537449
"54",54,99746.2306004062,89.7378037800489,164.0315958138
"55",55,99742.3770885221,90.6102104674631,167.012701010396
"56",56,99742.7006242795,92.2777224769073,165.021653243548
"57",57,99721.3664766532,93.5341611720444,185.099362174804
"58",58,99731.2025702732,94.3847369807969,174.412692746026
"59",59,99721.443318653,96.1178447446969,182.43883660229
"60",60,99718.9793429574,96.7439004524293,184.276756590199
"61",61,99711.7572565402,96.1933051644691,192.04943829535
"62",62,99696.8005219719,96.7450000112196,206.454478016893
"63",63,99706.5785022233,95.9712477090114,197.45025006766
"64",64,99681.3111096837,96.5546183062097,222.134272010082
"65",65,99686.0803956603,97.9912626393234,215.928341700343
"66",66,99688.8744586682,99.451637390708,211.673903941054
"67",67,99688.7781175389,100.574703817239,210.647178643837
"68",68,99680.1998381087,100.473297135634,219.326864755626
"69",69,99676.1363345363,101.112716068313,222.750949395351
"70",70,99670.0948532932,104.225173072322,225.679973634466
"71",71,99671.9845567023,105.241400025806,222.774043271916
"72",72,99670.4613260192,106.208882159589,223.329791821196
"73",73,99665.6625540906,106.39229679898,227.945149110391
"74",74,99654.5530022492,108.937422696304,236.50957505447
"75",75,99654.3026893922,109.156410876559,236.540899731254
"76",76,99645.6871707591,109.435196844979,244.877632395877
"77",77,99631.680418013,109.108534816296,259.211047170672
"78",78,99636.7923431345,111.328383115412,251.879273750093
"79",79,99651.3688931634,111.576022148297,237.055084688313
"80",80,99633.3499562219,113.251296387947,253.398747390125
"81",81,99621.348738362,113.616767899896,265.034493738092
"82",82,99614.5829256069,113.184444611916,272.232629781165
"83",83,99590.537719746,113.764118667724,295.698161586314
"84",84,99582.4107275885,114.468084964377,303.121187447154
"85",85,99605.0735643308,116.612806309407,278.313629359844
"86",86,99589.5938975588,116.642022443792,293.764079997376
"87",87,99568.5094982649,116.623179390943,314.867322344149
"88",88,99559.2451065284,116.624142917787,324.130750553802
"89",89,99559.5272919283,118.990144253487,321.48256381817
"90",90,99560.6162172806,121.784657022894,317.599125696514
"91",91,99550.728032429,124.788040027853,324.483927543153
"92",92,99551.5702343489,126.541185829221,321.888579821882
"93",93,99546.9908896372,125.846892598461,327.162217764297
"94",94,99542.2729369724,128.734196969591,328.992866058008
"95",95,99536.5376589181,129.108529407611,334.353811674298
"96",96,99534.290833367,130.747089803602,334.962076829443
"97",97,99517.1886131279,133.956559924812,348.854826947263
"98",98,99510.4402634472,134.135424010921,355.424312541873
"99",99,99509.4935980084,134.244107991976,356.262293999593
"100",100,99480.3570160141,137.084980796837,382.558003189118
"101",101,99460.2908651005,138.158245823869,401.55088907565
"102",102,99457.5947271051,138.851011748395,403.554261146477
"103",103,99448.3135073694,139.53663316238,412.149859468198
"104",104,99452.1543644016,142.490251222254,405.355384376116
"105",105,99446.3719408237,144.195205194579,409.432853981772
"106",106,99444.245895245,142.809509424772,412.944595330253
"107",107,99439.9895611411,143.189435542111,416.82100331682
"108",108,99439.0770312621,144.579517055002,416.343451682907
"109",109,99430.604208666,147.260513052283,422.135278281749
"110",110,99420.4616612761,148.436385409116,431.101953314756
"111",111,99392.561006943,149.698938536172,457.740054520782
"112",112,99396.4865999036,150.377270515977,453.13612958047
"113",113,99372.8334906722,151.030250754484,476.136258573334
"114",114,99373.9443898571,152.230100658862,473.825509484034
"115",115,99352.3494991985,154.126672592821,493.523828208704
"116",116,99357.0268068062,155.803387585761,487.169805608063
"117",117,99346.6560369591,158.215638666953,495.128324373944
"118",118,99342.8292749494,158.42089015457,498.749834896056
"119",119,99336.674923193,160.557337957513,502.767738849482
"120",120,99343.9954208162,161.665006615122,494.339572568721
"121",121,99336.4112110041,164.890145361686,498.698643634243
"122",122,99301.7005002783,166.640485054619,531.659014667122
