"","Day","S","I","R"
"1",1,99937.355513697,50.3818089685057,12.2626773344502
"2",2,99939.2199427133,49.9400178177032,10.840039469035
"3",3,99925.5103519308,48.643604956849,25.8460431123117
"4",4,99920.6483252269,49.9540225156703,29.397652257452
"5",5,99915.2846370083,52.7108780217025,32.0044849700123
"6",6,99909.3484429188,53.3576877695824,37.2938693116695
"7",7,99915.0596702065,53.3168690706302,31.6234607228541
"8",8,99923.5898037083,55.0799795892408,21.3302167024286
"9",9,99923.6236882287,55.703214384184,20.6730973870688
"10",10,99928.7234388064,56.2051717598605,15.0713894337019
"11",11,99923.0886074213,59.1932419095394,17.7181506691843
"12",12,99906.1953362671,58.7182815650705,35.086382167768
"13",13,99913.1640271038,59.4315233512427,27.404449544901
"14",14,99913.8767722888,60.5833899561726,25.539837755012
"15",15,99903.1961008134,58.2100180977485,38.5938810888364
"16",16,99910.3513315404,58.2827961267195,31.3658723328445
"17",17,99897.4291408671,58.6323116314282,43.9385475014329
"18",18,99891.6277697227,60.6544799629871,47.7177503143429
"19",19,99868.3158535486,62.2473470021539,69.4367994492272
"20",20,99860.6892786289,63.9290844876727,75.3816368834536
"21",21,99866.9978351737,62.7899901534476,70.2121746728175
"22",22,99850.3660324141,62.2692657410387,87.3647018448881
"23",23,99862.9173990834,62.4755046802558,74.6070962363839
"24",24,99870.6165804528,63.9869458321432,65.3964737150212
"25",25,99873.0735785969,64.897911928863,62.0285094742868
"26",26,99877.677895032,66.2290150904723,56.0930898775631
"27",27,99876.0866950716,66.6713146664611,57.2419902619405
"28",28,99837.675433148,68.2634163064106,94.061150545576
"29",29,99836.6842199831,67.8231057167106,95.492674300154
"30",30,99855.870787756,67.8963131364657,76.2328991075212
"31",31,99827.9251507398,67.3520023623117,104.72284689794
"32",32,99833.7907904373,66.470820431415,99.7383891312836
"33",33,99824.2255797123,66.7394903082956,109.034929979389
"34",34,99824.4021697703,68.8168401863175,106.780990043388
"35",35,99819.8773458811,69.1194746513327,111.003179467556
"36",36,99832.3914282526,71.9377604009928,95.6708113464239
"37",37,99823.5075802896,71.0724257229219,105.419993987549
"38",38,99811.2518392413,72.8472586678578,115.900902090906
"39",39,99811.8902661766,73.48254493523,114.627188888183
"40",40,99808.7510049681,75.1038368873741,116.145158144613
"41",41,99810.8539045907,76.237786940376,112.908308469016
"42",42,99801.7485908467,76.8878992477088,121.363509905649
"43",43,99801.8892929341,78.3465520218071,119.764155044154
"44",44,99783.4853629087,78.2958816521439,138.218755439243
"45",45,99794.0487032673,78.5136921067998,127.437604625898
"46",46,99787.7816467638,80.0713667946203,132.146986441589
"47",47,99786.1133627346,78.1837078420721,135.702929423377
"48",48,99784.4076394835,79.5461152489163,136.046245267641
"49",49,99788.2103689629,80.0685653165292,131.721065720595
"50",50,99780.0650910059,82.2217632869084,137.71314570719
"51",51,99772.8756472224,83.0407687541224,144.083584023451
"52",52,99747.1344886782,84.1366390694867,168.728872252321
"53",53,99752.1413726893,83.5974756774971,164.261151633268
"54",54,99752.4413842892,84.6086304469159,162.94998526393
"55",55,99740.0208815729,85.7637541747434,174.215364252338
"56",56,99723.90955134,87.7700752643266,188.320373395738
"57",57,99729.2398390047,88.2063153216805,182.553845673635
"58",58,99724.3413449665,89.7134463683855,185.945208665183
"59",59,99720.9859593179,91.7394832648401,187.27455741732
"60",60,99704.4828749616,90.9115754368817,204.605549601502
"61",61,99700.830466606,93.946497275046,205.223036118956
"62",62,99700.8534344592,92.5931515164729,206.553414024378
"63",63,99673.5431567215,92.558377011312,233.898466267259
"64",64,99671.7338258472,93.0215723882554,235.244601764575
"65",65,99658.6000880583,95.2913535410717,246.108558400618
"66",66,99652.8438251618,98.4809729425194,248.675201895688
"67",67,99651.3310189314,98.6519605114456,250.0170205572
"68",68,99644.898903355,100.906603619721,254.194493025336
"69",69,99634.4501877265,103.40771058506,262.142101688416
"70",70,99651.0488994747,104.14492387426,244.806176651014
"71",71,99633.6488205941,102.704985318027,263.646194087833
"72",72,99634.9917416066,102.562787992944,262.445470400458
"73",73,99626.7265261539,103.12006750127,270.153406344814
"74",74,99638.1664219579,105.547678230476,256.285899811642
"75",75,99607.5700723921,106.931108841601,285.498818766245
"76",76,99601.5663388955,107.627990704442,290.805670400055
"77",77,99615.703891688,108.793834679942,275.502273632037
"78",78,99594.8291654767,108.099654212312,297.071180310992
"79",79,99574.5379004839,109.941202632092,315.520896883955
"80",80,99569.6551940795,110.372928121498,319.971877798988
"81",81,99556.5487396506,112.420273424349,331.03098692503
"82",82,99537.9113205984,114.089575054959,347.999104346661
"83",83,99543.1247607549,113.758063306979,343.117175938087
"84",84,99534.8842526129,116.481167612381,348.634579774708
"85",85,99532.0996836972,118.307816780961,349.592499521803
"86",86,99539.5061628168,119.771969875538,340.721867307613
"87",87,99519.2309333075,121.031480344074,359.737586348437
"88",88,99509.7377360984,123.616699324433,366.645564577191
"89",89,99525.0427861388,124.402096715631,350.555117145603
"90",90,99525.0764984702,124.555991688743,350.367509841066
"91",91,99509.741735768,122.77927809458,367.478986137416
"92",92,99473.3818245276,123.354711779122,403.263463693267
"93",93,99466.5598027667,124.202131939996,409.238065293359
"94",94,99462.3138725321,124.858798109322,412.827329358628
"95",95,99458.7261254956,127.932248458658,413.341626045717
