"","Day","S","I","R"
"1",1,99942.7962110706,51.5455792221963,5.65820970716067
"2",2,99940.4639045173,53.8778857755295,5.65820970716067
"3",3,99940.4639045173,53.8778857755295,5.65820970716067
"4",4,99940.4639045173,53.8778857755295,5.65820970716067
"5",5,99940.4639045173,53.8778857755295,5.65820970716067
"6",6,99940.4639045173,53.8778857755295,5.65820970716067
"7",7,99940.4639045173,53.8778857755295,5.65820970716067
"8",8,99940.4639045173,53.8778857755295,5.65820970716067
"9",9,99937.7829151137,55.0670161773607,7.15006870894174
"10",10,99936.6702777943,56.1796534968027,7.15006870894174
"11",11,99936.6702777943,56.1796534968027,7.15006870894174
"12",12,99924.4636160385,57.5583297067272,17.9780542548184
"13",13,99918.9324487473,55.4467394582252,25.6208117944398
"14",14,99907.9202549411,55.1260939483919,36.9536511104952
"15",15,99900.6638924013,58.2634469724432,41.0726606262618
"16",16,99900.6638924013,58.2634469724432,41.0726606262618
"17",17,99900.6638924013,58.2634469724432,41.0726606262618
"18",18,99900.6638924013,58.2634469724432,41.0726606262618
"19",19,99900.6638924013,58.2634469724432,41.0726606262618
"20",20,99893.7957627996,60.2915107210075,45.9127264794287
"21",21,99893.7957627996,60.2915107210075,45.9127264794287
"22",22,99877.9630131067,59.7799180781124,62.2570688151779
"23",23,99872.3932705811,60.6443886769672,66.9623407419598
"24",24,99866.2314159214,61.7790936121508,71.9894904664054
"25",25,99858.0557199512,64.6184291991303,77.3258508497165
"26",26,99858.0557199512,64.6184291991303,77.3258508497165
"27",27,99858.0557199512,64.6184291991303,77.3258508497165
"28",28,99858.0557199512,64.6184291991303,77.3258508497165
"29",29,99854.8519307203,67.5177136997673,77.6303555799377
"30",30,99854.8519307203,67.5177136997673,77.6303555799377
"31",31,99846.3986348164,67.3025984835874,86.2987666999655
"32",32,99842.6692182753,69.0841154319541,88.2466662927718
"33",33,99837.8001001841,68.3724665274589,93.8274332884517
"34",34,99831.8834143048,69.0729826822641,99.0436030129789
"35",35,99823.4582304286,69.5645039282027,106.977265643225
"36",36,99823.4582304286,69.5645039282027,106.977265643225
"37",37,99819.1379335072,72.0498794288521,108.812187063906
"38",38,99819.1379335072,72.0498794288521,108.812187063906
"39",39,99819.1379335072,72.0498794288521,108.812187063906
"40",40,99819.1379335072,72.0498794288521,108.812187063906
"41",41,99819.0686056212,72.1192073148647,108.812187063906
"42",42,99819.0686056212,72.1192073148647,108.812187063906
"43",43,99783.8696568739,76.2005676638895,139.929775462244
"44",44,99783.8696568739,76.2005676638895,139.929775462244
"45",45,99777.0919221778,78.1618441940047,144.746233628164
"46",46,99769.1951664366,81.5078756088401,149.296957954568
"47",47,99769.1951664366,81.5078756088401,149.296957954568
"48",48,99769.1951664366,81.5078756088401,149.296957954568
"49",49,99769.1951664366,81.5078756088401,149.296957954568
"50",50,99769.1951664366,81.5078756088401,149.296957954568
"51",51,99768.3780074021,82.3250346433265,149.296957954568
"52",52,99768.3589226789,82.3441193665272,149.296957954568
"53",53,99759.4173495521,84.5786629019693,156.003987545906
"54",54,99750.373631315,86.2267354932073,163.399633191749
"55",55,99734.792565146,86.3452446397646,178.862190214225
"56",56,99731.0604964696,88.3506143518214,180.588889178568
"57",57,99731.0604964696,88.3506143518214,180.588889178568
"58",58,99723.0720489353,89.5344887473894,187.393462317357
"59",59,99707.0523753126,89.0002870913079,203.947337596045
"60",60,99707.0523753126,89.0002870913079,203.947337596045
"61",61,99695.7499244198,90.3342535490153,213.915822031159
"62",62,99691.4069421237,92.5131865549561,216.079871321366
"63",63,99691.4069421237,92.5131865549561,216.079871321366
"64",64,99691.4069421237,92.5131865549561,216.079871321366
"65",65,99682.5771479418,95.113669907914,222.309182150253
"66",66,99680.2538299832,96.9580866179961,222.788083398795
"67",67,99677.4220306045,97.8059316295015,224.772037765967
"68",68,99667.767371456,99.3355436034985,232.897084940523
"69",69,99661.036056491,99.3075867182411,239.65635679078
"70",70,99661.036056491,99.3075867182411,239.65635679078
"71",71,99643.1300533653,100.711481134622,256.158465500124
"72",72,99637.1732355454,104.480807763024,258.34595669159
"73",73,99637.1732355454,104.480807763024,258.34595669159
"74",74,99623.4858427087,106.447050852371,270.067106438884
"75",75,99623.4858427087,106.447050852371,270.067106438884
"76",76,99601.7372979371,109.613981977063,288.648720085823
"77",77,99600.8770241335,110.474255780677,288.648720085823
"78",78,99583.3550686805,110.469514019921,306.175417299555
"79",79,99583.3550686805,110.469514019921,306.175417299555
"80",80,99583.3550686805,110.469514019921,306.175417299555
"81",81,99571.8937812422,113.823134673792,314.283084083999
"82",82,99571.8937812422,113.823134673792,314.283084083999
"83",83,99571.8937812422,113.823134673792,314.283084083999
"84",84,99562.4567274461,116.998821904876,320.544450649009
"85",85,99562.4567274461,116.998821904876,320.544450649009
"86",86,99559.3149148948,118.181353688924,322.50373141632
"87",87,99551.8761944942,118.860506475829,329.263299029991
"88",88,99529.103655349,119.301754231873,351.594590419115
"89",89,99514.9929424693,120.445400851701,364.561656679003
"90",90,99509.1485847921,122.61908889061,368.232326317291
"91",91,99500.5585605501,122.003077855367,377.438361594493
"92",92,99493.7022827759,124.044854839177,382.252862384917
"93",93,99491.6772229534,125.762167829089,382.560609217559
"94",94,99488.8815254103,126.160370455698,384.958104134021
"95",95,99474.5506485102,129.31790433043,396.131447159332
"96",96,99471.6166965351,132.251856305611,396.131447159332
"97",97,99471.6166965351,132.251856305611,396.131447159332
"98",98,99471.6166965351,132.251856305611,396.131447159332
"99",99,99471.6166965351,132.251856305611,396.131447159332
"100",100,99435.0817093897,134.292484815852,430.625805794486
"101",101,99421.3560625272,135.424637568228,443.219299904579
"102",102,99418.729925508,138.050774587465,443.219299904579
"103",103,99407.5239407639,140.495208839875,451.98085039618
"104",104,99392.766336514,142.874445929531,464.359217556422
"105",105,99392.766336514,142.874445929531,464.359217556422
"106",106,99392.766336514,142.874445929531,464.359217556422
"107",107,99371.152348617,145.854248167302,482.993403215723
"108",108,99371.152348617,145.854248167302,482.993403215723
"109",109,99357.0861059942,149.598269974186,493.315624031632
"110",110,99354.8229166362,150.374139051227,494.802944312588
"111",111,99335.1308010577,151.084931063145,513.784267879106
"112",112,99326.0161757994,153.358133520791,520.625690679773
"113",113,99318.5470657322,154.91644252758,526.536491740206
"114",114,99315.8954353712,154.643188615838,529.461376012959
"115",115,99307.7080908562,156.58846374762,535.703445396145
"116",116,99282.3455731537,159.097602046277,558.556824800042
"117",117,99254.5848649235,160.20380376505,585.211331311409
"118",118,99246.2956238564,161.891523688208,591.812852455414
"119",119,99239.4329456115,164.384194138208,596.182860250327
"120",120,99237.69146664,166.125673109661,596.182860250327
"121",121,99237.69146664,166.125673109661,596.182860250327
"122",122,99226.062781445,170.48885878283,603.448359772143
"123",123,99226.062781445,170.48885878283,603.448359772143
"124",124,99226.062781445,170.48885878283,603.448359772143
"125",125,99226.062781445,170.48885878283,603.448359772143
"126",126,99204.7428570387,174.914020924881,620.343122036421
"127",127,99187.7674205455,175.804044091134,636.428535363384
"128",128,99157.6151053682,178.476019355775,663.908875276071
"129",129,99148.2459378923,181.939837648646,669.814224459031
"130",130,99132.973783862,184.120753110939,682.905463027055
"131",131,99117.4426434519,184.802570710233,697.754785837856
"132",132,99107.4223003554,187.532555568529,705.045144076079
"133",133,99086.5053953243,189.78220826549,723.712396410177
"134",134,99051.8967551647,194.531900681186,753.571344154106
"135",135,99051.8967551647,194.531900681186,753.571344154106
"136",136,99051.8967551647,194.531900681186,753.571344154106
"137",137,99051.8967551647,194.531900681186,753.571344154106
"138",138,99041.6666242987,197.465631492662,760.867744208596
"139",139,99029.373558583,202.552783883337,768.073657533663
"140",140,99029.373558583,202.552783883337,768.073657533663
"141",141,99024.6770728916,207.249269574736,768.073657533663
"142",142,99024.3481434283,207.578199038064,768.073657533663
"143",143,99001.0162184957,210.261721318955,788.722060185344
"144",144,98996.5191011596,212.688519766417,790.792379073965
"145",145,98988.7188143519,213.45849537149,797.822690276565
"146",146,98967.9779776766,215.860839022828,816.16118330055
