"","Day","S","I","R"
"1",1,99939.4367824157,51.3623662974317,9.20085128690206
"2",2,99947.4756372895,51.4379193720386,1.08644333842031
"3",3,99932.934634031,51.1101466041227,15.9552193648699
"4",4,99930.5936590103,55.2560025177617,14.1503384719841
"5",5,99945.1684993815,52.3129667023019,2.51853391616677
"6",6,99931.6500870394,53.2367036906722,15.1132092699313
"7",7,99932.7647196116,52.2724883484566,14.9627920399356
"8",8,99936.7977610171,54.1201069707542,9.08213201217257
"9",9,99912.8121508975,52.8626796575367,34.3251694449291
"10",10,99910.6140372477,55.5268701727657,33.8590925794912
"11",11,99921.8262825893,56.8765700080348,21.297147402632
"12",12,99907.8699565992,55.4599141825161,36.670129218223
"13",13,99913.6663415744,56.5360036425198,29.797654783069
"14",14,99912.2511187076,57.3591325921247,30.3897487002714
"15",15,99903.4092072117,58.1823736748975,38.4084191133441
"16",16,99892.9532023007,58.4840622001049,48.5627354992008
"17",17,99886.4673011782,59.5375164990291,53.9951823227289
"18",18,99882.2332202907,59.9319609077355,57.8348188015369
"19",19,99896.6406334794,60.6121476805947,42.7472188399988
"20",20,99892.227150157,61.7960067175566,45.9768431254595
"21",21,99892.3782988556,59.9148611207684,47.7068400236159
"22",22,99868.6868432403,62.7946244619818,68.5185322977331
"23",23,99883.3390629885,64.4707374861708,52.1901995253122
"24",24,99860.7914318162,63.3914036668394,75.817164516989
"25",25,99879.0014553483,64.129777783601,56.8687668680873
"26",26,99850.5923107465,64.66483588629,84.7428533672048
"27",27,99849.05454664,67.0613903598596,83.8840630001565
"28",28,99862.6698853223,66.1020721636801,71.2280425139945
"29",29,99830.3021589955,67.8088493608094,101.888991643733
"30",30,99858.2915390304,68.34258898719,73.3658719824362
"31",31,99826.7085115252,69.3785167201549,103.912971754624
"32",32,99849.1042753569,69.4908384413964,81.4048862017303
"33",33,99832.6241140311,70.292609673572,97.083276295336
"34",34,99853.4806521133,69.362766786792,77.1565810998962
"35",35,99831.024911723,71.2128518580354,97.7622364190104
"36",36,99829.8764683522,70.883284981702,99.2402466661204
"37",37,99820.5559603322,72.1813912338388,107.262648434023
"38",38,99816.1037080414,73.1434918716535,110.752800086998
"39",39,99798.5967532489,72.7648161534733,128.638430597683
"40",40,99818.3097403709,75.0640976615375,106.626161967599
"41",41,99798.3714503219,74.7171143758781,126.911435302239
"42",42,99789.0417581878,76.8131914763738,134.14505033586
"43",43,99774.9944858207,77.7440720676499,147.261442111708
"44",44,99781.0318582597,78.1394823972823,140.828659343112
"45",45,99773.6300775261,79.5882123864439,146.781710087513
"46",46,99781.0378735192,78.5886813182192,140.373445162628
"47",47,99758.8588715886,79.2344694227659,161.90665898871
"48",48,99762.544141789,83.0345147859693,154.421343425077
"49",49,99755.3663575837,80.8229841455332,163.810658270749
"50",50,99771.8422279494,82.3554018304545,145.802370220232
"51",51,99753.3665209718,83.7771973475761,162.856281680653
"52",52,99756.7551271645,84.2686355051137,158.97623733037
"53",53,99733.6176141909,84.5273687463048,181.855017062812
"54",54,99734.7472443231,86.9580475246679,178.294708152302
"55",55,99725.5884575787,85.8919896454292,188.519552775843
"56",56,99737.0772087993,88.1677023127176,174.755088887965
"57",57,99719.3973915125,89.7226437616805,190.879964725843
"58",58,99709.8857113222,89.9417512378188,200.172537440039
"59",59,99695.497822076,89.2589595460852,215.243218377893
"60",60,99692.7969654853,90.9821454745687,216.220889040195
"61",61,99694.8880615173,91.4913670001706,213.620571482601
"62",62,99708.2186664115,94.0558788815803,197.725454706977
"63",63,99677.7586836518,93.6531093270037,228.58820702117
"64",64,99687.777020343,94.9972796800418,217.225699976975
"65",65,99669.8383078259,94.5112373952605,235.650454778883
"66",66,99684.5873913389,98.0727259112242,217.339882749928
"67",67,99654.2421696608,98.8110396457691,246.946790693461
"68",68,99670.3431172147,98.8759171649636,230.780965620379
"69",69,99653.204773807,97.7268870747758,249.068339118239
"70",70,99642.2031129486,100.97368018384,256.823206867604
"71",71,99630.9327456179,100.985468872789,268.08178550935
"72",72,99627.8724194198,102.312664127993,269.814916452202
"73",73,99635.0440437602,105.106655313293,259.849300926519
"74",74,99605.7045650965,105.205467415679,289.089967487836
"75",75,99610.6620934282,106.291225504187,283.04668106763
"76",76,99602.7367048233,107.121337819917,290.141957356772
"77",77,99596.4125622021,109.17030275242,294.417135045469
"78",78,99588.502716073,106.888558213452,304.608725713556
"79",79,99590.5160680407,111.41002297821,298.073908981124
"80",80,99595.3608580132,111.223699032064,293.415442954754
"81",81,99571.9122987563,111.871386281691,316.216314961989
"82",82,99571.1311909766,112.504628400627,316.364180622791
"83",83,99547.1287548274,113.094415893387,339.77682927917
"84",84,99567.9562549257,114.823394349483,317.220350724811
"85",85,99559.7829795357,116.663776711721,323.553243752575
"86",86,99552.8516362043,117.538857385414,329.609506410293
"87",87,99530.987820464,119.451389800841,349.560789735195
"88",88,99538.8124639514,120.341216823795,340.8463192248
"89",89,99523.0819939055,121.769742211872,355.148263882607
"90",90,99529.6343003145,122.157342856787,348.208356828759
"91",91,99512.8487289687,124.589580962352,362.561690068999
"92",92,99492.8192662036,125.596074980413,381.584658816039
"93",93,99480.1254764435,128.15238183321,391.72214172334
"94",94,99497.0539070704,127.153495180663,375.792597748955
"95",95,99474.2374046592,127.908024292842,397.854571047956
"96",96,99469.1091898885,130.817347459915,400.073462651601
"97",97,99462.2559015941,132.851313917849,404.892784488058
"98",98,99447.0392007507,134.732462549985,418.228336699307
"99",99,99464.3081864626,133.660140627265,402.031672910096
"100",100,99413.9078017139,133.674332366096,452.417865920008
"101",101,99441.8398228199,137.045625317134,421.114551862927
"102",102,99407.0575162143,140.812655480662,452.129828305004
"103",103,99414.308583958,139.302003089504,446.389412952451
"104",104,99406.0546175085,141.050983579775,452.8943989117
"105",105,99398.7138134351,141.833846386055,459.452340178818
"106",106,99376.8998201763,144.374506608075,478.725673215573
"107",107,99362.934572637,146.575366552925,490.49006081008
"108",108,99363.7408868862,147.880050560265,488.379062553538
"109",109,99351.3464668506,149.767413863071,498.886119286292
"110",110,99339.1141050785,149.821156751426,511.064738170037
"111",111,99326.6664403989,151.789961539894,521.54359806114
"112",112,99332.5598007444,152.827677495428,514.612521760162
"113",113,99328.51015314,153.262534591528,518.227312268449
"114",114,99298.5467434336,158.69557225377,542.757684312553
"115",115,99297.4694318426,157.387292674397,545.14327548295
"116",116,99297.4748817222,159.501095480111,543.024022797697
"117",117,99291.2281803603,161.653372809424,547.118446830203
"118",118,99282.2510316115,164.512015898922,553.236952489529
"119",119,99262.373036246,164.353838940154,573.273124813798
"120",120,99251.747882973,166.508428851723,581.743688175232
"121",121,99238.2562054312,167.767196563443,593.97659800536
"122",122,99242.9256235534,169.771484241056,587.302892205556
"123",123,99228.6150504466,171.883948111165,599.501001442201
"124",124,99223.5350266906,171.686860991607,604.778112317786
"125",125,99206.582707163,173.297708220513,620.119584616443
"126",126,99187.2193459599,176.16397894143,636.61667509864
"127",127,99177.239295619,177.222401082992,645.538303298022
"128",128,99183.8808639507,179.477181323048,636.641954726187
"129",129,99165.872004144,181.020764354561,653.107231501462
"130",130,99133.8323252385,184.589960131359,681.57771463011
"131",131,99139.5637432485,183.722541987625,676.713714763826
"132",132,99135.2749721811,187.384942148027,677.340085670862
"133",133,99095.8786089965,189.205251460625,714.916139542896
"134",134,99078.1490636279,191.137726253683,730.713210118357
"135",135,99086.0070311991,194.022589749527,719.970379051378
"136",136,99087.2935655933,194.418407942598,718.288026464104
"137",137,99053.0933199507,196.128613010431,750.778067038891
"138",138,99059.9982907775,198.708988788405,741.292720434119
"139",139,99047.4339867852,202.612882028184,749.953131186544
"140",140,99027.4588093917,204.198328015676,768.34286259263
"141",141,99034.7935077545,205.084696741875,760.121795503597
"142",142,98996.0824950201,206.377623130829,797.539881849055
"143",143,99000.1424365626,208.273136830066,791.584426607252
"144",144,98992.402267945,211.307964137488,796.289767917498
"145",145,98969.3703338162,213.965053364956,816.664612818791
"146",146,98970.6956086934,214.305209220087,814.999182086515
"147",147,98939.5969915954,216.637667747918,843.765340656621
"148",148,98937.4852213664,220.567261993191,841.947516640327
"149",149,98921.5960487718,220.545047608659,857.858903619551
"150",150,98892.7332411417,224.519016581031,882.747742277217
"151",151,98879.9851464994,225.956353999032,894.058499501559
"152",152,98875.5614624954,227.547262762725,896.891274741804
"153",153,98864.5415123223,233.296586568028,902.161901109678
"154",154,98846.0731360583,231.295024729182,922.63183921251
"155",155,98847.1240567685,235.050783986235,917.825159245274
"156",156,98826.0907744582,237.033230572553,936.875994969259
"157",157,98816.0257999158,240.93852273394,943.035677350252
"158",158,98811.7314468187,241.522375238033,946.746177943247
"159",159,98782.7410908543,245.018613982549,972.240295163158
"160",160,98778.2011047762,246.926895597143,974.871999626657
"161",161,98764.8189044671,249.033926674369,986.147168858479
"162",162,98732.9060778682,252.800141496155,1014.29378063563
"163",163,98714.9952337404,254.365606692398,1030.6391595672
"164",164,98704.3509267452,258.870152360226,1036.77892089458
"165",165,98696.2968833325,261.120870698059,1042.58224596944
"166",166,98675.6133207211,262.202530579331,1062.18414869957
"167",167,98655.3823780809,264.114030364197,1080.5035915549
"168",168,98630.5335971937,267.530812212467,1101.93559059378
"169",169,98617.8094529939,270.821097651448,1111.36944935459
"170",170,98605.8618531814,273.679420627889,1120.45872619067
"171",171,98589.0970696413,275.682500523162,1135.2204298355
"172",172,98582.9126720795,276.750199230318,1140.33712869011
"173",173,98559.1547760892,283.140754041329,1157.70446986941
"174",174,98536.074818217,282.909113916093,1181.01606786686
"175",175,98539.1811406096,288.787021376796,1172.03183801355
"176",176,98496.930447371,289.657658563989,1213.411894065
"177",177,98490.9508280501,293.329273460371,1215.71989848951
"178",178,98477.0841996813,296.861917857822,1226.05388246083
"179",179,98443.1900529548,298.930228661158,1257.87971838395
"180",180,98432.9984750459,301.504466258602,1265.49705869542
"181",181,98424.2736270476,306.630262683567,1269.09611026881
"182",182,98394.7895049159,310.667958097473,1294.54253698662
"183",183,98366.0831440927,311.894630927127,1322.02222498011
"184",184,98368.7623673841,314.061222997963,1317.17640961787
"185",185,98325.982497944,317.292167726726,1356.72533432924
"186",186,98337.7891042539,321.484651562836,1340.72624418318
"187",187,98300.291521014,325.73674634567,1373.97173264023
"188",188,98288.1327545427,328.119639029087,1383.74760642817
"189",189,98264.209853658,331.203547616511,1404.58659872542
"190",190,98269.0862450151,335.338623568971,1395.57513141589
"191",191,98230.6910826669,337.059108532926,1432.2498088001
"192",192,98188.8050546383,343.655345602464,1467.53959975916
"193",193,98186.4857913805,344.54400911383,1468.9701995056
"194",194,98153.8051603451,346.355567019211,1499.83927263563
"195",195,98148.3624217014,351.598941073299,1500.03863722529
"196",196,98111.5555306767,355.495792361717,1532.94867696151
"197",197,98107.2378159302,357.908656224724,1534.85352784506
"198",198,98089.3619860387,361.149700809297,1549.48831315196
"199",199,98058.8018662436,366.920816615497,1574.27731714082
"200",200,98024.6419458803,368.947393456664,1606.41066066304
"201",201,98006.7454147283,371.18586194633,1622.06872332537
"202",202,97985.8262211622,374.78202161035,1639.39175722745
"203",203,97971.566794672,380.262393081641,1648.17081224631
"204",204,97947.4496466055,384.349738083715,1668.20061531075
"205",205,97919.4321156066,387.52484104066,1693.04304335268
"206",206,97885.269559809,390.364301597214,1724.36613859374
"207",207,97872.6808216643,397.077578979111,1730.24159935651
"208",208,97862.9309181673,399.089445932018,1737.97963590059
"209",209,97819.4629693912,404.64493152982,1775.89209907888
"210",210,97800.895619265,408.52151079894,1790.58286993597
"211",211,97779.0662658786,413.920378302104,1807.01335581929
"212",212,97765.6743634517,415.540313980235,1818.78532256804
"213",213,97726.1922816156,420.62180094656,1853.1859174378
"214",214,97712.0042188268,425.230417612184,1862.76536356098
"215",215,97683.0350748101,428.395047339214,1888.56987785065
"216",216,97647.1978127614,434.205795730334,1918.59639150825
"217",217,97640.4282905235,440.182773142156,1919.38893633429
"218",218,97611.3667459816,440.796335588401,1947.83691842991
"219",219,97573.9881347971,446.160733350265,1979.85113185255
"220",220,97541.3671503128,450.632586227475,2008.00026345962
"221",221,97494.5058021814,455.358516898136,2050.13568092044
"222",222,97486.1282749199,460.670428910761,2053.20129616928
"223",223,97463.2088738223,465.303616402314,2071.48750977538
"224",224,97442.8270059955,470.769854987071,2086.40313901733
"225",225,97395.6073451452,473.063401242651,2131.32925361211
"226",226,97366.2890600841,478.844707570417,2154.86623234545
"227",227,97364.2404909159,483.638171641188,2152.12133744281
"228",228,97330.5784069236,488.672648217446,2180.74894485889
"229",229,97311.2680356569,493.839188354352,2194.89277598868
"230",230,97265.6229137889,498.771170530679,2235.60591568037
"231",231,97238.9427625609,503.434142910612,2257.62309452845
"232",232,97199.3464372738,509.013337819145,2291.64022490697
"233",233,97164.4492967552,512.990995538279,2322.55970770648
"234",234,97138.8038964286,519.117629208255,2342.07847436306
"235",235,97096.7436440271,523.267718472204,2379.98863750063
"236",236,97076.1647418776,531.453076726047,2392.38218139627
"237",237,97029.8420413134,532.497871140441,2437.66008754608
"238",238,97014.3642977571,539.365357876734,2446.27034436608
"239",239,96982.7167185325,547.135422376273,2470.14785909119
"240",240,96945.4561277586,551.715215570087,2502.82865667123
"241",241,96904.4086617683,556.904651414763,2538.68668681682
"242",242,96878.9552393428,560.745633878167,2560.29912677898
"243",243,96824.3080953889,568.193266366815,2607.49863824419
"244",244,96793.5477594872,574.152980721984,2632.29925979072
"245",245,96785.51380387,580.979643107388,2633.50655302256
"246",246,96736.8010742856,585.513263726252,2677.68566198807
"247",247,96717.2311495781,590.387059457986,2692.38179096382
"248",248,96661.1810669318,595.819594368236,2742.99933869993
