"","Day","S","I","R"
"1",1,99947.0617547724,49.4956217020072,3.4426235255969
"2",2,99940.9440639721,52.1415812332895,6.91435479458167
"3",3,99936.9686543606,52.2886500312537,10.7426956081387
"4",4,99936.9686543606,52.2886500312537,10.7426956081387
"5",5,99936.9686543606,52.2886500312537,10.7426956081387
"6",6,99936.9686543606,52.2886500312537,10.7426956081387
"7",7,99933.3471275798,54.8473148854824,11.8055575346956
"8",8,99933.3471275798,54.8473148854824,11.8055575346956
"9",9,99919.4679449634,54.0476436721566,26.4844113644739
"10",10,99919.4679449634,54.0476436721566,26.4844113644739
"11",11,99917.9825877537,55.4569179709567,26.5604942753355
"12",12,99907.065263844,57.1579052526297,35.7768309033479
"13",13,99906.5581727528,57.6649963438625,35.7768309033479
"14",14,99905.9369610715,58.2862080251737,35.7768309033479
"15",15,99905.9369610715,58.2862080251737,35.7768309033479
"16",16,99888.1767048235,60.2970826513193,51.5262125251465
"17",17,99886.6632856582,59.9021217241258,53.4345926177033
"18",18,99886.6632856582,59.9021217241258,53.4345926177033
"19",19,99886.6632856582,59.9021217241258,53.4345926177033
"20",20,99886.6632856582,59.9021217241258,53.4345926177033
"21",21,99883.8155483298,61.6635029640021,54.5209487062092
"22",22,99863.1280605006,63.7178607831038,73.1540787163367
"23",23,99863.1280605006,63.7178607831038,73.1540787163367
"24",24,99863.1280605006,63.7178607831038,73.1540787163367
"25",25,99863.1280605006,63.7178607831038,73.1540787163367
"26",26,99863.1280605006,63.7178607831038,73.1540787163367
"27",27,99863.1280605006,63.7178607831038,73.1540787163367
"28",28,99855.1437928707,66.7183110046299,78.1378961247119
"29",29,99834.754919085,67.3342288764613,97.9108520385564
"30",30,99834.754919085,67.3342288764613,97.9108520385564
"31",31,99832.6642661652,69.4248817962869,97.9108520385564
"32",32,99832.6642661652,69.4248817962869,97.9108520385564
"33",33,99832.6642661652,69.4248817962869,97.9108520385564
"34",34,99832.6642661652,69.4248817962869,97.9108520385564
"35",35,99819.7096064018,70.7858992418887,109.504494356271
"36",36,99819.7096064018,70.7858992418887,109.504494356271
"37",37,99819.7096064018,70.7858992418887,109.504494356271
"38",38,99805.3646872978,74.1624093900371,120.472903312193
"39",39,99805.3646872978,74.1624093900371,120.472903312193
"40",40,99805.3646872978,74.1624093900371,120.472903312193
"41",41,99788.4511370599,74.6295002517417,136.919362688366
"42",42,99788.4511370599,74.6295002517417,136.919362688366
"43",43,99788.4511370599,74.6295002517417,136.919362688366
"44",44,99779.7556548412,78.5037513842921,141.740593774498
"45",45,99779.7556548412,78.3328605067602,141.911484652029
"46",46,99764.2818554721,78.5147404591025,157.20340406884
"47",47,99762.2723577373,80.5242381938206,157.20340406884
"48",48,99762.2723577373,80.5242381938206,157.20340406884
"49",49,99762.2723577373,80.5242381938206,157.20340406884
"50",50,99762.2723577373,80.5242381938206,157.20340406884
"51",51,99758.2262467126,84.2637238670338,157.510029420412
"52",52,99757.9231199344,84.5668506452254,157.510029420412
"53",53,99741.7617843043,86.2941142085002,171.944101487159
"54",54,99741.7617843043,86.2941142085002,171.944101487159
"55",55,99741.7617843043,86.2941142085002,171.944101487159
"56",56,99735.839674261,88.4986376784954,175.661688060455
"57",57,99720.8756216948,90.2843432731376,188.840035032067
"58",58,99711.7908753351,90.0745951890785,198.134529475829
"59",59,99711.7908753351,90.0745951890785,198.134529475829
"60",60,99704.9992646265,92.0270263450959,202.973709028417
"61",61,99684.7333730769,93.8177677807299,221.448859142382
"62",62,99684.7333730769,93.8177677807299,221.448859142382
"63",63,99684.7333730769,93.8177677807299,221.448859142382
"64",64,99684.7333730769,93.8177677807299,221.448859142382
"65",65,99684.7333730769,93.8177677807299,221.448859142382
"66",66,99662.4656174692,97.7470576583298,239.787324872507
"67",67,99662.4656174692,97.7470576583298,239.787324872507
"68",68,99662.4656174692,97.7470576583298,239.787324872507
"69",69,99654.8434845657,99.7341824261102,245.422333008216
"70",70,99641.1545718108,101.466821903159,257.37860628606
"71",71,99623.7287525078,102.954348593771,273.316898898387
"72",72,99623.7287525078,102.954348593771,273.316898898387
"73",73,99623.7287525078,102.954348593771,273.316898898387
"74",74,99618.5879151938,104.058324911612,277.353759894604
"75",75,99607.4661376486,106.97848967316,285.555372678193
"76",76,99607.4661376486,106.97848967316,285.555372678193
"77",77,99607.4661376486,106.97848967316,285.555372678193
"78",78,99607.4661376486,106.97848967316,285.555372678193
"79",79,99581.4513703765,111.513320273174,307.035309350373
"80",80,99581.4513703765,111.513320273174,307.035309350373
"81",81,99579.636659769,113.012325947365,307.351014283614
"82",82,99562.8510254878,114.44281428155,322.70616023063
"83",83,99562.8510254878,114.44281428155,322.70616023063
"84",84,99550.735380075,116.105094202072,333.159525722929
"85",85,99545.9546543117,117.370007909331,336.675337778966
"86",86,99545.9546543117,117.370007909331,336.675337778966
"87",87,99522.8631987721,120.651679536804,356.485121691138
"88",88,99522.8631987721,120.651679536804,356.485121691138
"89",89,99521.0902116892,122.424666619623,356.485121691138
"90",90,99521.0902116892,122.424666619623,356.485121691138
"91",91,99506.5844406588,124.921208821627,368.494350519558
"92",92,99497.3621710602,127.240486886118,375.39734205368
"93",93,99497.3621710602,127.240486886118,375.39734205368
"94",94,99494.792147512,128.727168487195,376.480684000839
"95",95,99452.3896628067,130.261316531368,417.349020661974
"96",96,99450.5696271679,132.081352170092,417.349020661974
"97",97,99450.3855765003,132.265402837701,417.349020661974
"98",98,99450.3855765003,132.265402837701,417.349020661974
"99",99,99443.7238352847,136.673528330647,419.602636384691
"100",100,99437.5462881461,135.989131568017,426.464580285928
"101",101,99434.2245616018,137.937519262378,427.837919135833
"102",102,99434.2245616018,137.937519262378,427.837919135833
"103",103,99414.0124028043,140.275619555107,445.711977640615
"104",104,99395.128657313,142.626167854216,462.24517483275
"105",105,99382.98677543,141.752823353583,475.260401216439
"106",106,99375.2919477452,145.069676885987,479.63837536879
"107",107,99375.2919477452,145.069676885987,479.63837536879
"108",108,99360.0489775045,147.001370010041,492.94965248546
"109",109,99352.0755181197,148.431967039925,499.492514840402
"110",110,99343.2521167322,150.249167987782,506.498715279977
"111",111,99339.6329810844,152.158653535615,508.208365379967
"112",112,99321.971904781,154.384745675203,523.643349543804
"113",113,99318.0028321993,153.334041175186,528.663126625557
"114",114,99308.4673102546,156.72429917469,534.808390570746
"115",115,99295.5663621667,159.033127965591,545.400509867749
"116",116,99295.1732558053,159.426234326918,545.400509867749
"117",117,99295.1732558053,159.426234326918,545.400509867749
"118",118,99258.4659161241,163.469378903898,578.064704971973
"119",119,99258.4659161241,163.469378903898,578.064704971973
"120",120,99258.4659161241,163.469378903898,578.064704971973
"121",121,99228.5246632858,168.263916028101,603.211420686067
"122",122,99225.7900229771,169.018112408453,605.191864614414
"123",123,99225.7900229771,169.018112408453,605.191864614414
"124",124,99215.6869601148,172.494444566823,611.8185953184
"125",125,99206.5108338626,175.863300274005,617.625865863365
"126",126,99180.7572410111,176.149760357751,643.092998631175
"127",127,99160.2769568854,179.345182096902,660.3778610177
"128",128,99156.3459161594,180.935090259519,662.718993581117
"129",129,99156.3459161594,180.935090259519,662.718993581117
"130",130,99145.8149639864,185.276782343141,668.90825367049
"131",131,99145.8149639864,185.276782343141,668.90825367049
"132",132,99110.3789702667,187.093251388624,702.527778344634
"133",133,99107.8414969334,188.434175060918,703.72432800567
"134",134,99101.3947407896,190.021090803395,708.584168407029
"135",135,99077.4115460728,194.446746565496,728.141707361684
"136",136,99077.4115460728,194.446746565496,728.141707361684
"137",137,99077.4115460728,194.446746565496,728.141707361684
"138",138,99049.3405290205,198.742491870736,751.916979108767
"139",139,99049.3405290205,198.742491870736,751.916979108767
"140",140,99030.63211795,203.177193252716,766.190688797247
"141",141,99030.63211795,203.177193252716,766.190688797247
"142",142,99004.9797057464,208.288677407359,786.731616846282
"143",143,99004.9797057464,208.288677407359,786.731616846282
"144",144,98970.6545135323,209.876542970138,819.46894349758
"145",145,98951.1872793243,213.186661451997,835.626059223738
"146",146,98947.7497477334,216.570144010797,835.680108255807
"147",147,98944.1630335625,217.84194910477,837.995017332765
"148",148,98938.3209734955,221.481740116095,840.197286388447
"149",149,98920.9831665293,222.955217687333,856.061615783365
"150",150,98920.9831665293,222.955217687333,856.061615783365
"151",151,98886.1399790352,228.432560479432,885.427460485382
"152",152,98886.1399790352,228.432560479432,885.427460485382
"153",153,98855.5405516381,230.838858494997,913.620589866947
"154",154,98841.5655393324,235.527531805409,922.906928862149
"155",155,98841.5655393324,235.527531805409,922.906928862149
"156",156,98829.7108414905,237.552122702535,932.737035806927
"157",157,98817.63725632,240.415177663544,941.947566016428
"158",158,98802.0756071584,242.127024111239,955.797368730328
"159",159,98777.1169790654,247.191663455652,975.691357478909
"160",160,98777.1169790654,247.191663455652,975.691357478909
"161",161,98743.7506066641,250.184185776996,1006.06520755894
"162",162,98741.4916766418,251.57143495314,1006.9368884051
"163",163,98708.988000221,255.621778876174,1035.39022090286
"164",164,98685.250542462,259.447885800031,1055.30157173799
"165",165,98685.250542462,259.447885800031,1055.30157173799
"166",166,98682.9357302811,261.762697980923,1055.30157173799
"167",167,98666.9458552019,266.37041432702,1066.68373047112
"168",168,98629.9935926162,269.312610786164,1100.69379659759
"169",169,98629.9935926162,269.312610786164,1100.69379659759
"170",170,98614.6788647037,273.615537135526,1111.70559816076
