PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2008,40,1.06828,1.02284,1535,X,1476,2352,X,324,5687,1435,555999
National,X,2008,41,1.00756,1.03017,1861,X,1485,2291,X,322,5959,1500,578446
National,X,2008,42,0.979399,1.01245,1869,X,1467,2219,X,341,5896,1525,582351
National,X,2008,43,1.04943,1.08359,1976,X,1668,2474,X,367,6485,1527,598473
National,X,2008,44,1.13218,1.16578,2119,X,1869,2547,X,452,6987,1545,599343
National,X,2008,45,1.13156,1.1913,2276,X,1981,2668,X,372,7297,1555,612526
National,X,2008,46,1.15469,1.28075,2512,X,1889,2854,X,412,7667,1555,598635
National,X,2008,47,1.20448,1.27053,2600,X,1893,2828,X,412,7733,1563,608646
National,X,2008,48,1.36081,1.59578,3024,X,1741,2412,X,457,7634,1523,478386
National,X,2008,49,1.30322,1.4585,3114,X,2212,2913,X,469,8708,1551,597052
National,X,2008,50,1.30204,1.49921,3252,X,1974,3024,X,439,8689,1543,579573
National,X,2008,51,1.45109,1.62982,3137,X,1640,2579,X,456,7812,1416,479318
National,X,2008,52,1.79927,2.15561,3897,X,1947,2367,X,495,8706,1484,403876
National,X,2008,53,2.12134,2.02053,3814,X,2163,2042,X,584,8603,1490,425780
National,X,2009,1,1.47138,1.54566,3245,X,2606,2548,X,557,8956,1539,579428
National,X,2009,2,1.61555,1.64224,3142,X,2329,3345,X,473,9289,1512,565631
National,X,2009,3,1.95333,1.96524,3602,X,2821,4597,X,436,11456,1566,582932
National,X,2009,4,2.42907,2.34368,4039,X,3215,6602,X,468,14324,1554,611176
National,X,2009,5,2.96686,2.86057,4606,X,4240,8882,X,540,18268,1580,638613
National,X,2009,6,3.57354,3.3421,5064,X,4636,11215,X,752,21667,1569,648304
National,X,2009,7,3.36653,3.20566,4848,X,4685,9851,X,638,20022,1543,624583
National,X,2009,8,3.2962,3.10049,4694,X,5007,10092,X,657,20450,1544,659573
National,X,2009,9,3.17227,2.95819,4420,X,4272,9116,X,633,18441,1534,623389
National,X,2009,10,2.5804,2.46381,4046,X,3601,7446,X,618,15711,1524,637672
National,X,2009,11,2.42922,2.19272,3657,X,3002,6036,X,582,13277,1494,605503
National,X,2009,12,1.99028,1.87395,3237,X,2661,5052,X,450,11400,1470,608342
National,X,2009,13,1.72423,1.64817,2829,X,2158,4283,X,399,9669,1440,586651
National,X,2009,14,1.60355,1.49878,2577,X,2085,3407,X,391,8460,1422,564460
National,X,2009,15,1.28418,1.29233,2371,X,1727,2761,X,363,7222,1415,558837
National,X,2009,16,1.2932,1.27164,2353,X,1743,2855,X,397,7348,1445,577836
National,X,2009,17,2.74012,2.98159,4821,X,5093,8043,X,670,18627,1405,624734
National,X,2009,18,2.22391,2.43702,3920,X,3875,6221,X,562,14578,1422,598189
National,X,2009,19,1.76657,2.2813,3236,X,3018,5888,X,412,12554,1372,550300
National,X,2009,20,1.92171,3.81572,4188,X,4136,12026,X,424,20774,1331,544432
National,X,2009,21,1.8611,4.21315,4496,X,4950,12461,X,487,22394,1314,531526
National,X,2009,22,1.68423,3.17832,3865,X,4213,8615,X,412,17105,1305,538177
National,X,2009,23,1.7393,2.50972,3072,X,3276,5660,X,384,12392,1296,493761
National,X,2009,24,1.83001,2.06632,2623,X,3084,4740,X,333,10780,1280,521701
National,X,2009,25,1.58128,1.71805,2299,X,2476,3700,X,326,8801,1279,512268
National,X,2009,26,1.49172,1.55965,2145,X,2023,2893,X,361,7422,1237,475877
National,X,2009,27,1.389,1.30856,1701,X,1815,2481,X,293,6290,1246,480680
National,X,2009,28,1.34702,1.18695,1581,X,1708,2437,X,238,5964,1248,502466
National,X,2009,29,1.16056,1.13796,1608,X,1611,2285,X,231,5735,1248,503971
National,X,2009,30,1.2085,1.15005,1519,X,1575,2199,X,294,5587,1254,485804
National,X,2009,31,1.15544,1.11262,1651,X,1530,2082,X,263,5526,1230,496666
National,X,2009,32,1.14518,1.16142,1645,X,1646,2321,X,265,5877,1234,506019
National,X,2009,33,1.4664,1.64107,2167,X,2168,4210,X,396,8941,1286,544827
National,X,2009,34,2.38017,2.47166,2883,X,2977,8253,X,443,14556,1320,588916
