"S","I","R","gamma","date"
30477522.2668,396477.7332,-1.28056854009628e-09,0.5,2009-04-16
30078259.6988,597501.4346,198238.866599999,0.5,2009-04-23
29232275.05,1144735.3661,496989.583899999,0.5,2009-04-30
28545665.0766,1258977.65645,1069357.26695,0.5,2009-05-07
28000254.2548,1174899.650025,1698846.095175,0.5,2009-05-14
27406945.5094,1180758.5704125,2286295.9201875,0.5,2009-05-21
26832349.4954,1164975.29920625,2876675.20539375,0.5,2009-05-28
26312360.3252,1102476.81980312,3459162.85499688,0.5,2009-06-04
25775368.8432,1088229.89190156,4010401.26489844,0.5,2009-06-11
25210371.5558,1109112.23335078,4554516.21084922,0.5,2009-06-18
24722167.1686,1042760.50387539,5109072.32752461,0.5,2009-06-25
24261613.5358,981933.884737695,5630452.57946231,0.5,2009-07-02
23832773.6758,919806.802368848,6121419.52183115,0.5,2009-07-09
23416894.721,875782.355984424,6581322.92301557,0.5,2009-07-16
23058583.4266,796202.472392212,7019214.10100779,0.5,2009-07-23
22685471.1366,771213.526196106,7417315.3372039,0.5,2009-07-30
22328740.591,742337.308698053,7802922.10030195,0.5,2009-08-06
21975177.7178,724731.527549027,8174090.75465097,0.5,2009-08-13
21522441.3818,815102.099774513,8536456.51842549,0.5,2009-08-20
20787587.696,1142404.73568726,8944007.56831274,0.5,2009-08-27
30477522.2668,396477.7332,-1.28056854009628e-09,0.333333333333333,2009-04-16
30078259.6988,663581.0568,132159.244399999,0.333333333333333,2009-04-23
29232275.05,1288372.02,353352.929999999,0.333333333333333,2009-04-30
28545665.0766,1545524.6534,782810.27,0.333333333333333,2009-05-07
28000254.2548,1575760.59073333,1297985.15446667,0.333333333333333,2009-05-14
27406945.5094,1643815.80588889,1823238.68471111,0.333333333333333,2009-05-21
26832349.4954,1670473.21792593,2371177.28667407,0.333333333333333,2009-05-28
26312360.3252,1633637.98215062,2928001.69264938,0.333333333333333,2009-06-04
25775368.8432,1626083.47010041,3472547.68669959,0.333333333333333,2009-06-11
25210371.5558,1649052.93413361,4014575.51006639,0.333333333333333,2009-06-18
24722167.1686,1587573.00995574,4564259.82144426,0.333333333333333,2009-06-25
24261613.5358,1518935.63943716,5093450.82476284,0.333333333333333,2009-07-02
23832773.6758,1441463.61962477,5599762.70457523,0.333333333333333,2009-07-09
23416894.721,1376854.70121652,6080250.57778348,0.333333333333333,2009-07-16
23058583.4266,1276214.42854434,6539202.14485565,0.333333333333333,2009-07-23
22685471.1366,1223921.90902956,6964606.95437044,0.333333333333333,2009-07-30
22328740.591,1172678.48495304,7372580.92404696,0.333333333333333,2009-08-06
21975177.7178,1135348.52983536,7763473.75236464,0.333333333333333,2009-08-13
21522441.3818,1209635.35589024,8141923.26230976,0.333333333333333,2009-08-20
20787587.696,1541277.25639349,8545135.0476065,0.333333333333333,2009-08-27
30477522.2668,396477.7332,-1.28056854009628e-09,0.25,2009-04-16
30078259.6988,696620.8679,99119.4332999988,0.25,2009-04-23
29232275.05,1368450.299725,273274.650274999,0.25,2009-04-30
28545665.0766,1712947.69819375,615387.22520625,0.25,2009-05-07
28000254.2548,1830121.59544531,1043624.14975469,0.25,2009-05-14
27406945.5094,1965899.94198398,1501154.54861602,0.25,2009-05-21
26832349.4954,2049020.97048799,1992629.53411201,0.25,2009-05-28
26312360.3252,2056754.89806599,2504884.77673401,0.25,2009-06-04
25775368.8432,2079557.65554949,3019073.50125051,0.25,2009-06-11
25210371.5558,2124665.52906212,3538962.91513788,0.25,2009-06-18
24722167.1686,2081703.53399659,4070129.29740341,0.25,2009-06-25
24261613.5358,2021831.28329744,4590555.18090256,0.25,2009-07-02
23832773.6758,1945213.32247308,5096013.00172692,0.25,2009-07-09
23416894.721,1874788.94665481,5582316.33234519,0.25,2009-07-16
23058583.4266,1764403.00439111,6051013.56900889,0.25,2009-07-23
22685471.1366,1696414.54329333,6492114.32010667,0.25,2009-07-30
22328740.591,1629041.45307,6916217.95593,0.25,2009-08-06
21975177.7178,1575343.9630025,7323478.3191975,0.25,2009-08-13
21522441.3818,1634244.30825187,7717314.30994813,0.25,2009-08-20
20787587.696,1960536.91698891,8125875.38701109,0.25,2009-08-27
30477522.2668,396477.7332,-1.28056854009628e-09,0.2,2009-04-16
30078259.6988,716444.75456,79295.5466399987,0.2,2009-04-23
29232275.05,1419140.452448,222584.497551999,0.2,2009-04-30
28545665.0766,1821922.3353584,506412.5880416,0.2,2009-05-07
28000254.2548,2002948.69008672,870797.05511328,0.2,2009-05-14
27406945.5094,2195667.69746938,1271386.79313062,0.2,2009-05-21
26832349.4954,2331130.1719755,1710520.3326245,0.2,2009-05-28
26312360.3252,2384893.3077804,2176746.3670196,0.2,2009-06-04
25775368.8432,2444906.12822432,2653725.02857568,0.2,2009-06-11
25210371.5558,2520922.18997946,3142706.25422054,0.2,2009-06-18
24722167.1686,2504942.13918357,3646890.69221643,0.2,2009-06-25
24261613.5358,2464507.34414685,4147879.12005315,0.2,2009-07-02
23832773.6758,2400445.73531748,4640780.58888252,0.2,2009-07-09
23416894.721,2336235.54305399,5120869.73594601,0.2,2009-07-16
23058583.4266,2227299.72884319,5588116.84455681,0.2,2009-07-23
22685471.1366,2154952.07307455,6033576.79032545,0.2,2009-07-30
22328740.591,2080692.20405964,6464567.20494036,0.2,2009-08-06
21975177.7178,2018116.63644771,6880705.64575229,0.2,2009-08-13
21522441.3818,2067229.64515817,7284328.97304183,0.2,2009-08-20
20787587.696,2388637.40192654,7697774.90207346,0.2,2009-08-27
30477522.2668,396477.7332,-1.28056854009628e-09,0.166666666666667,2009-04-16
