"R0_seir","R0-sir","var_seir","var_sir"
2,4.09362608615117,2.87077405789025e-09,-2.39795762496366e-05
2,2.84528722614318,2.4125909644814e-09,6.07109692029488e-07
2,2.62224450521541,2.07796317523598e-09,8.75085942500811e-08
2,2.52276311231376,1.79203818900738e-09,3.4238303798434e-08
2,2.44960192947997,1.56752698211717e-09,1.85157013477163e-08
2,2.3903867330979,1.39652516616843e-09,1.17338247379874e-08
2,2.33946845395876,1.26623906951404e-09,8.14113948675439e-09
2,2.29815750699535,1.16580288948572e-09,6.05821310624611e-09
2,2.26423666078898,1.08713114535323e-09,4.74709344191321e-09
2,2.23595268363423,1.0244488311758e-09,3.86850471511703e-09
2,2.21261823823357,9.7367177137345e-10,3.25615917198748e-09
2,2.19276891082313,9.3189936967397e-10,2.8087027640637e-09
2,2.17645178175405,8.97048763031605e-10,2.47698763874142e-09
2,2.16226267054684,8.67603029909942e-10,2.21937685716927e-09
2,2.14987893058977,8.42440501408463e-10,2.01515612507566e-09
2,2.13935781186635,8.20719060363153e-10,1.85241180660154e-09
2,2.13011794052537,8.01797121141677e-10,1.71910733577008e-09
2,2.12210013099818,7.85179045875951e-10,1.60897509666023e-09
2,2.11477049703534,7.70476943270719e-10,1.51532001136337e-09
2,2.10849207835167,7.57383563591716e-10,1.43676066184308e-09
2,2.10262784346596,7.4565280128209e-10,1.36819664075845e-09
2,2.09753113418791,7.3508548150138e-10,1.30951836587475e-09
2,2.09276629674585,7.25518865146512e-10,1.25757136514727e-09
2,2.08847572589716,7.16818804713942e-10,1.21202581951319e-09
2,2.08462830480478,7.08873813708887e-10,1.17186255747602e-09
2,2.08111314145923,7.01590533997087e-10,1.13609579737844e-09
2,2.07787968715397,6.94890236166653e-10,1.10394617627306e-09
2,2.07469498863441,6.88706091511404e-10,1.07428371057302e-09
2,2.07190807194873,6.82981026355123e-10,1.04794976889819e-09
2,2.06931022065923,6.7766602009867e-10,1.02393381870355e-09
2,2.06690574536861,6.72718744498975e-10,1.00208158866706e-09
2,2.06461174425088,6.68102467624754e-10,9.81857945520482e-10
2,2.06257737363012,6.63785164783601e-10,9.63614085496563e-10
2,2.06057424608575,6.59738792556684e-10,9.4645763930632e-10
2,2.05865892701106,6.55938692304358e-10,9.30485226546173e-10
2,2.05697754084772,6.52363097154363e-10,9.1603875166451e-10
2,2.05530279908066,6.48992722242734e-10,9.02355596354303e-10
2,2.05375567990625,6.4581042235165e-10,8.89652609624673e-10
2,2.05229005535924,6.42800904414754e-10,8.77769018855814e-10
2,2.05092510396651,6.39950484959094e-10,8.66729055094665e-10
2,2.04963653513229,6.37246884530969e-10,8.56375985270545e-10
2,2.04835481993013,6.34679052719845e-10,8.46495600499946e-10
2,2.04720353371128,6.3223701861344e-10,8.37353910088201e-10
2,2.04605755823267,6.29911762494914e-10,8.28595266559339e-10
2,2.04500313524305,6.27695105362585e-10,8.20431823370317e-10
2,2.04398767007093,6.25579613436308e-10,8.12676677166365e-10
2,2.04294810733221,6.23558515371218e-10,8.05154736266551e-10
2,2.04203467826045,6.2162563022284e-10,7.98223258524194e-10
2,2.0411184031122,6.19775304602418e-10,7.91504596640864e-10
2,2.04025142890625,6.1800235766238e-10,7.85161046205884e-10
2,2.03943724627907,6.16302032816442e-10,7.7915701561453e-10
2,2.03861149338692,6.14669955247241e-10,7.73343735678916e-10
2,2.03787087543546,6.13102094409495e-10,7.67900995060292e-10
2,2.03715485456009,6.1159473086201e-10,7.62707278943641e-10
2,2.03644877294611,6.10144426853949e-10,7.57675546972289e-10
2,2.0357536521878,6.08748000179503e-10,7.52825693986887e-10
2,2.03510467172768,6.07402500891429e-10,7.48235673754159e-10
2,2.03445948346546,6.0610519050659e-10,7.43797034351822e-10
2,2.03389512651173,6.04853523409631e-10,7.39659877602385e-10
2,2.03328402019624,6.0364513017561e-10,7.35539636137955e-10
2,2.03271968390481,6.02477802597913e-10,7.3162530654384e-10
2,2.03215494719028,6.01349480213237e-10,7.27817623930143e-10
2,2.03164165912428,6.00258238155028e-10,7.24239725238345e-10
2,2.03110879489702,5.99202276183095e-10,7.20695491330014e-10
2,2.03061629447852,5.98179908764042e-10,7.17338857439721e-10
2,2.03015142015665,5.97189556080103e-10,7.14128210336161e-10
2,2.02970022600391,5.96229735871483e-10,7.11031040813127e-10
2,2.02923499004852,5.95299056022751e-10,7.07966032977262e-10
2,2.02878699150641,5.94396207812956e-10,7.05021411205101e-10
2,2.02837223459453,5.9351995976614e-10,7.02209257809244e-10
2,2.02795581862195,5.92669152032672e-10,6.99460940422249e-10
2,2.02755284984041,5.91842691259177e-10,6.96813303726511e-10
2,2.02716273719887,5.91039545890236e-10,6.94249276183987e-10
2,2.0267843765051,5.90258741861965e-10,6.91767113867252e-10
2,2.02642443812057,5.89499358652805e-10,6.89361611243753e-10
2,2.02608628354275,5.88760525653219e-10,6.87067760207692e-10
2,2.02571925436152,5.88041418830099e-10,6.84758635899494e-10
